period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,25,15,1.0,0.625,0.375,40,0,0,0,0,0,0,0,391.9087499999998,0.4940972222222222,-0.03462500000000024,0.17495926339285717,120146.09765474824,2817.261389850065,122963.35904459831,0,0,0.0,33,7,15,45.29635416666667,0.5252525252525253,54.90196078431373,980.3921568627457,29.70885323826502,0
2,4,26,23,18,0.6341463414634146,0.5609756097560976,0.4390243902439024,41,400,300,100,0.75,5,3,2,337.4690727706566,0.4951981707317073,-0.07898529404431298,0.16293793039696794,123530.76562396744,337.56258675393656,123868.32821072137,1,0,0.36585365853658536,40,1,14,43.086579090847124,0.5473958333333333,51.47357723577237,994.1056910569125,24.852642276422813,0
3,4,14,13,19,0.4375,0.40625,0.59375,32,300,200,100,0.6666666666666666,4,2,2,362.01965113751584,0.49050739247311825,-0.10328228266395545,0.17410578332212545,123363.9743393531,2532.0365906540087,125896.0109300071,2,0,0.875,32,0,17,42.65034528046093,0.5611979166666667,51.64141414141414,993.4343434343432,31.044823232323225,0
4,4,12,10,21,0.3870967741935484,0.3225806451612903,0.6774193548387097,31,400,200,200,0.5,6,2,4,361.27489895230497,0.4913530465949821,-0.08173621800835595,0.17353935322469652,123313.02218967004,2709.9799262152715,126023.0021158853,3,0,1.3870967741935485,31,0,14,42.7219891627338,0.5631720430107527,51.69270833333333,993.2291666666658,32.03965053763438,5
5,4,7,6,22,0.25,0.21428571428571427,0.7857142857142857,28,450,400,50,0.8888888888888888,5,4,1,391.7845504418124,0.4884534832451499,-0.05856316496229763,0.18853097886604964,123388.84605380498,4068.368716144799,127457.21476994979,4,0,2.2857142857142856,28,0,20,41.88509279344419,0.5725446428571428,51.616379310344826,993.5344827586206,35.48337438423645,1
6,4,7,6,23,0.2413793103448276,0.20689655172413793,0.7931034482758621,29,900,400,500,0.4444444444444444,14,4,10,368.3044983664955,0.48865968801313625,-0.06712182755739926,0.18142406771386616,124375.78124999991,3361.631944444431,127737.41319444435,5,0,2.7586206896551726,29,0,20,41.44040657198551,0.5797413793103448,50.62499999999999,997.4999999999993,34.39655172413791,0
7,4,8,6,25,0.25806451612903225,0.1935483870967742,0.8064516129032258,31,600,300,300,0.5,9,3,6,340.08568055321314,0.4839605734767025,-0.05737746124842902,0.17273481136277943,125651.88937716995,2346.4816623263646,127998.37103949631,6,0,3.032258064516129,31,0,19,40.82467532467533,0.5873655913978495,49.34895833333332,1002.604166666665,32.34206989247306,0
8,4,10,10,25,0.2857142857142857,0.2857142857142857,0.7142857142857143,35,700,400,300,0.5714285714285714,10,4,6,303.63028341161805,0.4829481792717087,-0.021718744876881413,0.15996579743947037,127150.37321030526,721.3407707476025,127871.71398105286,7,0,3.2857142857142856,35,0,20,40.20302578226605,0.593452380952381,47.8587962962963,1008.5648148148152,28.816137566137577,0
9,4,4,2,27,0.13793103448275862,0.06896551724137931,0.9310344827586207,29,750,400,350,0.5333333333333333,11,4,7,358.10444735966394,0.4788074712643678,-0.03202378910047465,0.1845615228699807,126253.12500000012,3242.361111111125,129495.48611111124,8,0,4.137931034482759,29,0,27,39.752625760088456,0.5991379310344828,48.75000000000001,1005.0000000000009,34.65517241379313,0
10,4,2,3,26,0.06896551724137931,0.10344827586206896,0.896551724137931,29,800,700,100,0.875,9,7,2,378.30331165886304,0.4786535303776683,0.01435983840395183,0.18978391763164695,125138.92746913584,3668.0941358024756,128807.02160493832,9,0,4.724137931034483,29,0,22,40.39827410697761,0.5876436781609196,49.861111111111114,1000.5555555555559,34.50191570881227,6
11,4,7,5,28,0.21212121212121213,0.15151515151515152,0.8484848484848485,33,1050,700,350,0.6666666666666666,14,7,7,333.84249896923404,0.47944286616161613,0.04163853999520439,0.17390717368625627,126690.727800005,1858.9498329969483,128549.67763300195,10,0,4.757575757575758,33,0,20,39.91263440860216,0.5931186868686869,48.31495098039217,1006.7401960784329,30.50727866904342,0
12,4,5,5,28,0.15151515151515152,0.15151515151515152,0.8484848484848485,33,1000,800,200,0.8,12,8,4,332.08991047754535,0.47628630050505055,0.04559638942617683,0.17431011574204322,126999.35308835577,1835.0407595636705,128834.39384791943,11,0,5.545454545454546,33,0,23,39.64019756838906,0.5962752525252526,48.00857843137257,1007.9656862745124,30.544414735591285,0
