period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,23,17,1.0,0.575,0.42500000000000004,40,0,0,0,0,0,0,0,391.8696611660197,0.9975694444444444,-0.0302605210420841,0.17304686807242797,119665.99384851965,2778.694492502867,122444.68834102251,0,0,0.0,33,7,17,45.80671760187042,0.5202020202020203,55.39215686274509,978.4313725490183,29.649435531788434,0
2,4,32,27,22,0.6530612244897959,0.5510204081632653,0.44897959183673475,49,500,300,200,0.6,7,3,4,287.85683835829377,0.9984764739229025,-0.1342641250144846,0.1404858920893977,123985.20294981428,-1062.0022951310089,122923.20065468327,1,0,0.3469387755102041,41,8,19,43.84971527708602,0.5505589430894309,51.01686507936508,995.9325396825404,24.291037553232695,0
3,4,12,11,23,0.35294117647058826,0.3235294117647059,0.6764705882352942,34,450,300,150,0.6666666666666666,6,3,3,332.277965136867,0.9920157456922163,-0.08191442186543141,0.16116349127387095,123723.51367630373,1422.119472789101,125145.63314909283,2,0,1.0,34,0,23,43.01533644449762,0.5603553921568627,51.2797619047619,994.8809523809514,29.26120448179269,0
4,4,11,13,21,0.3235294117647059,0.38235294117647056,0.6176470588235294,34,300,200,100,0.6666666666666666,4,2,2,324.168724294018,0.9832516339869282,-0.019001884426510518,0.16173765762904763,124910.73022959207,1298.4304138322302,126209.1606434243,3,0,1.5,34,0,18,41.98796197054503,0.572610294117647,50.08928571428573,999.642857142859,29.401260504201737,0
5,4,12,9,24,0.36363636363636365,0.2727272727272727,0.7272727272727273,33,600,300,300,0.5,9,3,6,346.6250582938532,0.9838226010101011,-0.11463275763902037,0.1711684566213978,124479.70920138904,2029.557291666686,126509.26649305572,4,0,1.7575757575757576,33,0,21,41.87326026443981,0.570391414141414,50.52083333333334,997.9166666666679,30.239898989899025,0
6,4,13,11,26,0.35135135135135137,0.2972972972972973,0.7027027027027026,37,800,600,200,0.75,10,6,4,310.02401507644623,0.9723473473473473,-0.07148628008326874,0.1598245288071264,126264.14497730072,428.98343721145613,126693.12841451218,5,0,2.2162162162162162,37,0,19,40.94934177031058,0.5805180180180181,48.7390350877193,1005.0438596491229,27.1633475580844,0
7,4,9,11,24,0.2571428571428571,0.3142857142857143,0.6857142857142857,35,950,800,150,0.8421052631578947,11,8,3,323.18217425823923,0.970518207282913,-0.04069333771461425,0.16796587000450589,126596.50051708214,1182.7464581189597,127779.2469752011,6,0,3.0,35,0,14,40.277578110024926,0.5877976190476192,48.408564814814795,1006.3657407407379,28.753306878306798,0
8,4,6,9,21,0.2,0.3,0.7,30,600,400,200,0.6666666666666666,8,4,4,368.25743070956435,0.976676245210728,-0.03891792878523892,0.18729166261241023,125706.64103147754,3258.4809298762775,128965.12196135381,7,0,3.933333333333333,30,0,20,40.06193316356163,0.590625,49.29435483870967,1002.8225806451605,33.42741935483868,0
9,4,7,5,23,0.25,0.17857142857142858,0.8214285714285714,28,850,700,150,0.8235294117647058,10,7,3,401.08890531052333,0.9707892416225748,-0.0763783562205369,0.2022857937781729,125359.45344497297,4456.057190513953,129815.51063548692,8,0,4.25,28,0,22,39.59917503586803,0.5930059523809523,49.640804597701155,1001.4367816091959,35.76559934318557,0
10,4,2,1,24,0.08,0.04,0.96,25,1050,900,150,0.8571428571428571,12,9,3,419.6880926446467,0.9647222222222223,0.004657709532949195,0.2122888313280204,125481.23150887579,5532.595742932291,131013.82725180808,9,0,5.68,25,0,23,39.00685114096822,0.605,49.519230769230774,1001.9230769230774,40.076923076923094,0
11,4,2,1,25,0.07692307692307693,0.038461538461538464,0.9615384615384616,26,1000,800,200,0.8,12,8,4,407.8277171262161,0.9622435897435897,-0.00814417014632296,0.20833492886659719,125888.92044372042,5068.1982072092605,130957.11865092968,10,0,6.384615384615385,26,0,24,38.880772976574924,0.6053685897435896,49.11265432098765,1003.549382716049,38.5980531813865,0
