period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,28,12,1.0,0.7,0.30000000000000004,40,0,0,0,0,0,0,0,404.4345999995854,1.0000534188034187,-0.053415488911869646,0.18022500377861722,120066.55462472612,2511.8137985959024,122578.36842332203,0,0,0.0,36,4,12,45.07377724156422,0.5182291666666666,54.98310810810811,980.0675675675681,27.224099099099114,0
2,4,40,35,17,0.7692307692307693,0.6730769230769231,0.32692307692307687,52,450,400,50,0.8888888888888888,5,4,1,353.39364463943525,1.0019482151835093,-0.1247409997409995,0.1665998610443056,122512.50000000029,-140.9722222221949,122371.5277777781,1,0,0.23076923076923078,44,8,14,43.753507295173975,0.53125,52.500000000000014,990.0000000000024,22.500000000000053,8
3,4,32,31,18,0.6530612244897959,0.6326530612244898,0.36734693877551017,49,550,400,150,0.7272727272727273,7,4,3,321.0077841054445,1.0001771541950113,-0.24710434974138573,0.15597611498939024,123799.19410150872,-851.8990054869855,122947.29509602174,2,0,0.5510204081632653,44,5,16,43.217148926932154,0.5445075757575759,51.203703703703695,995.1851851851836,22.617845117845082,0
4,4,26,24,20,0.5909090909090909,0.5454545454545454,0.4545454545454546,44,700,500,200,0.7142857142857143,9,5,4,341.2649799776929,0.9922260394644116,-0.1735789104210157,0.17084079007835506,125050.81817205393,535.0929919360386,125585.91116398996,3,0,0.9772727272727273,40,4,18,41.41582842240736,0.5630208333333333,49.94918699186993,1000.2032520325224,25.00508130081306,0
5,4,13,12,21,0.3939393939393939,0.36363636363636365,0.6363636363636364,33,550,300,250,0.5454545454545454,8,3,5,396.56144146195646,0.9788510101010102,-0.09710322317421494,0.19974765577954276,125306.56027729715,3338.350033640897,128644.91031093804,4,0,1.7272727272727273,33,0,17,39.767441860465105,0.5789141414141414,49.69362745098039,1001.225490196078,30.34016636957812,0
6,4,8,9,20,0.27586206896551724,0.3103448275862069,0.6896551724137931,29,600,400,200,0.6666666666666666,8,4,4,410.87709745773145,0.965311986863711,-0.022650814282437315,0.20820850668925475,125556.17283950605,4517.63117283949,130073.80401234554,5,0,2.689655172413793,29,0,18,39.14969050258685,0.5919540229885059,49.444444444444436,1002.2222222222211,34.55938697318004,0
7,4,9,8,21,0.3103448275862069,0.27586206896551724,0.7241379310344828,29,450,200,250,0.4444444444444444,7,2,5,425.44946708512066,0.972188013136289,-0.0504346164867705,0.21632008115173026,125695.40895061722,4895.408950617275,130590.81790123449,6,0,3.1724137931034484,29,0,20,38.63977377654664,0.5933908045977012,49.30555555555555,1002.7777777777771,34.57854406130266,0
8,4,11,9,23,0.34375,0.28125,0.71875,32,1050,800,250,0.7619047619047619,13,8,5,377.1821236863877,0.9582073252688172,-0.05896174777930718,0.1995246005708337,127314.91246110095,3204.1818118049223,130519.09427290587,7,0,3.34375,32,0,17,38.179240168480746,0.6018880208333334,47.69570707070707,1009.217171717172,31.538036616161627,0
9,4,3,0,26,0.11538461538461539,0.0,1.0,26,700,500,200,0.7142857142857143,9,5,4,420.8553538602941,0.9521794871794872,0.04136029411764697,0.22013972355769212,126858.71056241407,5477.833504801065,132336.54406721515,8,0,4.8076923076923075,26,0,22,37.548828125,0.6153846153846155,48.14814814814813,1007.4074074074057,38.74643874643868,0
10,4,3,4,25,0.10344827586206896,0.13793103448275862,0.8620689655172413,29,550,200,350,0.36363636363636365,9,2,7,385.74560084575444,0.9516625615763546,-0.0002843547989617168,0.2057686944100961,127652.81635802468,4048.302469135795,131701.11882716048,9,0,5.206896551724138,29,0,19,37.61567711196628,0.6135057471264368,47.36111111111111,1010.5555555555554,34.84674329501915,0
