firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,wealth,previous_wealth,profits,previous_profits,profits_growthrate,output,previous_output,output_growthrate,revenues,previous_revenues,revenues_growthrate,pcm
3,50,49,3,43.5329861111111,0.65625,34.375,0.03570824166525638,100,1,1,0,6280.149100114247,6244.674261669032,35.474838445215255,68.0277777777776,-0.4785242204868303,36.6319444444444,35.66666666666666,0.027063862928347948,1594.6979287229915,1544.069444444444,0.032788994342650035,0.2103688933200397
11,50,49,3,43.5329861111111,0.6770833333333333,32.291666666666664,0.043831443560670175,100,0,0,0,5290.461666488137,5084.992615079958,205.46905140817825,184.0,0.11667962721836012,44.96527777777774,44.0,0.021938131313130604,1957.472812982251,1904.8333333333333,0.027634690514787508,0.2582253240279161
18,50,49,3,43.5329861111111,0.7083333333333333,29.166666666666668,0.05601624640379084,50,1,0,1,11239.854634756988,10664.2900972377,575.5645375192887,434.69444444444434,0.324066927643581,57.46527777777773,52.33333333333333,0.09806263269638982,2501.6351393711393,2265.5972222222217,0.10418353043238571,0.3300099700897306
103,50,47,3,43.5329861111111,0.71875,28.125,0.06007784735149773,50,0,0,0,32972.91877218407,32273.294628183303,699.6241440007702,670.1111111111109,0.04404199900628991,61.6319444444444,60.66666666666666,0.01591117216117155,2683.022581500769,2626.3611111111104,0.021574135464443867,0.35393818544366884
107,50,47,3,43.5329861111111,0.65625,34.375,0.03570824166525638,50,0,0,0,5432.847669014755,5347.37283056954,85.47483844521525,68.0277777777776,0.2564696545642129,36.6319444444444,35.66666666666666,0.027063862928347948,1594.6979287229915,1544.069444444444,0.032788994342650035,0.2103688933200397
120,50,47,3,43.5329861111111,0.6666666666666667,33.333333333333336,0.03976984261296326,50,0,0,0,13045.846469815093,12879.714802666174,166.13166714891867,146.67361111111074,0.1326622825360706,40.79861111111106,39.833333333333314,0.024232914923290716,1776.0853708526206,1724.451388888888,0.029942265868684093,0.23429710867397782
157,50,46,3,43.5329861111111,0.65625,34.375,0.03570824166525638,100,0,0,0,3381.7110709425533,3346.2362324973383,35.474838445215255,18.0277777777776,0.967787648733069,36.6319444444444,35.66666666666666,0.027063862928347948,1594.6979287229915,1544.069444444444,0.032788994342650035,0.2103688933200397
204,50,44,3,43.5329861111111,0.7291666666666667,27.083333333333332,0.06413944829920463,50,0,0,0,15668.234758419145,14835.870452381338,832.3643060378074,800.8402777777776,0.03936368978281757,65.79861111111107,64.83333333333333,0.014888603256211885,2864.410023630399,2806.743055555555,0.020545866484179998,0.377866400797607
225,50,44,3,43.5329861111111,0.6354166666666667,36.458333333333336,0.027585039769842588,50,0,0,0,1936.6126367548475,1986.4097890503729,-49.79715229552545,-63.222222222222484,0,28.298611111111057,27.333333333333314,0.03531504065040525,1231.923044463732,1183.3055555555547,0.04108616635823337,0.16251246261216323
241,50,43,3,43.5329861111111,0.6770833333333333,32.291666666666664,0.043831443560670175,50,1,0,1,4215.1247584556795,3959.6557070475014,255.46905140817825,184.0,0.3884187576531426,44.96527777777774,44.0,0.021938131313130604,1957.472812982251,1904.8333333333333,0.027634690514787508,0.2582253240279161
263,50,43,3,43.5329861111111,0.6666666666666667,33.333333333333336,0.03976984261296326,50,0,0,0,2641.1766597885644,2475.044992639646,166.13166714891867,146.67361111111074,0.1326622825360706,40.79861111111106,39.833333333333314,0.024232914923290716,1776.0853708526206,1724.451388888888,0.029942265868684093,0.23429710867397782
326,50,41,3,43.5329861111111,0.6979166666666667,30.208333333333332,0.051954645456083956,100,1,1,0,6285.052331123872,5874.866844530509,410.1854865933632,434.69444444444434,-0.056382036081469855,53.29861111111107,52.33333333333333,0.018444798301485488,2320.24769724151,2265.5972222222217,0.0241218847212763,0.30608175473579247
455,50,38,3,43.5329861111111,0.6875,31.25,0.04789304450837706,50,1,0,1,7395.36165314392,7041.874661920928,353.48699122299274,280.00694444444423,0.26242223000696896,49.1319444444444,48.16666666666666,0.02004036908881135,2138.86025511188,2085.2152777777774,0.025726349651184366,0.2821535393818543
486,50,37,3,43.5329861111111,0.7083333333333333,29.166666666666668,0.05601624640379084,50,0,0,0,12094.017475899685,11518.452938380397,575.5645375192887,548.0624999999995,0.050180476714406064,57.46527777777773,56.499999999999986,0.01708456243854406,2501.6351393711393,2445.979166666666,0.022754066536192274,0.3300099700897306
490,50,37,3,43.5329861111111,0.6666666666666667,33.333333333333336,0.03976984261296326,50,0,0,0,5277.517506825719,5111.3858396768,166.13166714891867,146.67361111111074,0.1326622825360706,40.79861111111106,39.833333333333314,0.024232914923290716,1776.0853708526206,1724.451388888888,0.029942265868684093,0.23429710867397782
739,50,31,3,43.5329861111111,0.6666666666666667,33.333333333333336,0.03976984261296326,100,0,0,0,2821.638101516374,2705.5064343674553,116.13166714891867,96.67361111111074,0.20127577540725183,40.79861111111106,39.833333333333314,0.024232914923290716,1776.0853708526206,1724.451388888888,0.029942265868684093,0.23429710867397782
794,50,30,3,43.5329861111111,0.6666666666666667,33.333333333333336,0.03976984261296326,100,0,0,0,2015.208153561938,1899.0764864130192,116.13166714891867,96.67361111111074,0.20127577540725183,40.79861111111106,39.833333333333314,0.024232914923290716,1776.0853708526206,1724.451388888888,0.029942265868684093,0.23429710867397782
809,50,29,3,43.5329861111111,0.6458333333333333,35.416666666666664,0.031646640717549496,50,0,0,0,1446.7576887995901,1433.259123502523,13.49856529706733,-1.9375,0,32.46527777777774,31.5,0.03064373897707129,1413.3104865933624,1363.6875,0.036388825587506224,0.18644067796610153
