firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,profits_growthrate,output,previous_output,output_growthrate,revenues,previous_revenues,revenues_growthrate,pcm
8,4961,4960,2,41.01228632478635,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,639,1137,1001,775,102841.18964250071,103041.18964250071,-200.0,-300.0,0,0,0,0,0.0,0.0,0,-0.16834907196352897
8,4962,4961,2,40.90544871794874,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,639,1137,1001,775,102641.18964250071,102841.18964250071,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.17140058765915708
8,4963,4962,2,40.8008658008658,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,639,1137,1001,775,102441.18964250071,102641.18964250071,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.17440318302387264
8,4964,4963,2,40.66506410256408,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,639,1137,1001,775,102241.18964250071,102441.18964250071,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.17832512315270993
8,4965,4964,2,40.54608585858584,0.53125,46.875,0.0,100,1,1,0,640,1137,1002,775,101941.18964250071,102241.18964250071,-300.0,-200.0,0,0,0,0,0.0,0.0,0,-0.15609186453873156
8,4966,4965,2,40.44871794871794,0.53125,46.875,0.0,50,1,0,1,640,1138,1003,775,101691.18964250071,101941.18964250071,-250.0,-300.0,0,0,0,0,0.0,0.0,0,-0.15887480190174347
8,4967,4966,2,40.22671568627451,0.53125,46.875,0.0,0,0,0,0,640,1138,1003,775,101491.18964250071,101691.18964250071,-200.0,-250.0,0,0,0,0,0.0,0.0,0,-0.16527037319116528
8,4968,4967,2,40.096618357487905,0.53125,46.875,0.0,0,0,0,0,640,1138,1003,775,101291.18964250071,101491.18964250071,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.1690512048192776
8,4969,4968,2,39.96478873239435,0.53125,46.875,0.0,0,0,0,0,640,1138,1003,775,101091.18964250071,101291.18964250071,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.1729074889867847
8,4970,4969,2,41.37731481481482,0.53125,46.875,0.0,0,0,0,0,640,1138,1003,775,100891.18964250071,101091.18964250071,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.1328671328671328
8,4971,4970,2,42.4107142857143,0.5416666666666667,45.833333333333336,0.0,50,1,0,1,641,1138,1003,776,100641.18964250071,100891.18964250071,-250.0,-200.0,0,0,0,0,0.0,0.0,0,-0.08070175438596464
8,4972,4971,2,42.31770833333334,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,641,1138,1003,776,100441.18964250071,100641.18964250071,-200.0,-250.0,0,0,0,0,0.0,0.0,0,-0.0830769230769229
