firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,wealth,previous_wealth,profits,previous_profits,profits_growthrate,output,previous_output,output_growthrate,revenues,previous_revenues,revenues_growthrate,pcm
25,10,9,3,52.353395061728406,0.5416666666666667,45.833333333333336,0.02632808848730333,100,1,1,0,122.71454728231433,252.66972751398586,-129.95518023167153,-169.47551740085564,0,26.080246913580282,22.849462365591393,0.14139433551198444,1365.3894699740915,1130.1884610937677,0.20810777757605337,0.12453942520265306
42,10,8,3,52.353395061728406,0.59375,40.625,0.04735940177597756,100,1,1,0,2159.2797262957924,1909.0587233998913,250.22100289590105,322.3927621690368,-0.22386283980933386,46.913580246913625,47.84946236559139,-0.019558884727422954,2456.085200426767,2366.747600878714,0.03774699064441189,0.22402358142962434
83,10,7,3,52.353395061728406,0.6145833333333333,38.541666666666664,0.055771927091447265,100,0,0,0,3711.85554302178,3248.8001779859605,463.05536503581925,376.41941987512973,0.23015801147940085,55.24691358024697,52.01612903225805,0.06211120681405058,2892.3634926078375,2572.8407908428712,0.12419062341602949,0.2638172439204129
90,10,7,3,52.353395061728406,0.6145833333333333,38.541666666666664,0.055771927091447265,50,0,0,0,1797.493125671149,1284.4377606353298,513.0553650358192,62.396122384090575,7.222552066258453,55.24691358024697,35.34946236559139,0.5628784678214354,2892.3634926078375,1748.4680309862408,0.6542272671559062,0.2638172439204129
108,10,7,3,52.353395061728406,0.5729166666666667,42.708333333333336,0.038946876460507866,100,1,1,0,648.1149378466101,576.0060748684049,72.10886297820525,-67.53219302809592,0,38.58024691358028,27.01612903225805,0.428044960383271,2019.8069082456966,1336.281651057925,0.5115128660538213,0.1842299189388358
109,10,7,3,52.353395061728406,0.59375,40.625,0.04735940177597756,100,1,1,0,1764.2175438954246,1513.9965409995236,250.22100289590105,177.04666001849932,0.4133054126508564,46.913580246913625,43.682795698924735,0.07396011396011493,2456.085200426767,2160.6544109145566,0.13673208821357097,0.22402358142962434
116,10,7,3,52.353395061728406,0.59375,40.625,0.04735940177597756,50,0,0,0,1467.0403402154934,1166.8193373195925,300.22100289590105,227.04666001849932,0.3222876869073503,46.913580246913625,43.682795698924735,0.07396011396011493,2456.085200426767,2160.6544109145566,0.13673208821357097,0.22402358142962434
139,10,6,3,52.353395061728406,0.5729166666666667,42.708333333333336,0.038946876460507866,100,1,1,0,210.90300725258183,138.79414427437658,72.10886297820525,-67.53219302809592,0,38.58024691358028,27.01612903225805,0.428044960383271,2019.8069082456966,1336.281651057925,0.5115128660538213,0.1842299189388358
141,10,6,3,52.353395061728406,0.5520833333333333,44.791666666666664,0.03053435114503819,50,1,0,1,128.4228656633523,149.7039203806202,-21.281054717267892,-56.90831309978026,0,30.246913580246968,31.182795698924735,-0.03001277139208014,1583.5286160646274,1542.3748410220837,0.026682083983730065,0.1444362564480474
149,10,6,3,52.353395061728406,0.5104166666666667,48.958333333333336,0.013709300514098792,100,1,1,0,11.410416761506099,265.3046402030544,-253.89422344154832,-6.908313099780258,0,13.580246913580282,31.182795698924735,-0.5644955300127703,710.9720317024863,1542.3748410220837,-0.5390406969868964,0.0648489314664703
150,10,6,3,52.353395061728406,0.5520833333333333,44.791666666666664,0.03053435114503819,100,0,0,0,17.513089557108685,88.79414427437658,-71.28105471726789,-117.53219302809592,0,30.246913580246968,27.01612903225805,0.11958724894048545,1583.5286160646274,1336.281651057925,0.18502608698619682,0.1444362564480474
184,10,5,3,52.353395061728406,0.59375,40.625,0.04735940177597756,100,0,0,0,298.82815116921915,48.607148273318074,250.22100289590105,-117.53219302809592,0,46.913580246913625,27.01612903225805,0.7365026718260574,2456.085200426767,1336.281651057925,0.8379996451214469,0.22402358142962434
186,10,5,3,52.353395061728406,0.5729166666666667,42.708333333333336,0.038946876460507866,100,1,1,0,670.3259223848798,598.2170594066746,72.10886297820525,43.09168690021974,0.6733822267198721,38.58024691358028,31.182795698924735,0.23722860791826417,2019.8069082456966,1542.3748410220837,0.3095434744690424,0.1842299189388358
189,10,5,3,52.353395061728406,0.5520833333333333,44.791666666666664,0.03053435114503819,100,1,1,0,438.16872284030467,509.4497775575726,-71.28105471726789,12.396122384090575,0,30.246913580246968,35.34946236559139,-0.14434586677932515,1583.5286160646274,1748.4680309862408,-0.09433367496492218,0.1444362564480474
204,10,4,3,52.353395061728406,0.5520833333333333,44.791666666666664,0.03053435114503819,100,1,1,0,133.12640293613487,204.40745765340276,-71.28105471726789,-6.908313099780258,0,30.246913580246968,31.182795698924735,-0.03001277139208014,1583.5286160646274,1542.3748410220837,0.026682083983730065,0.1444362564480474
209,10,4,3,52.353395061728406,0.5833333333333333,41.666666666666664,0.04315313911824273,50,0,0,0,409.6199261310479,202.79527097177228,206.82465515927566,-6.908313099780258,0,42.74691358024697,31.182795698924735,0.370849297573437,2237.9460543362325,1542.3748410220837,0.45097416971169957,0.20412675018423013
218,10,4,3,52.353395061728406,0.6041666666666667,39.583333333333336,0.0515656644337124,100,1,1,0,1596.8142693229884,1244.5163631349062,352.29790618808204,227.04666001849932,0.5516542113386627,51.08024691358028,43.682795698924735,0.1693447293447301,2674.2243465173015,2160.6544109145566,0.2376918460483286,0.24392041267501854
223,10,4,3,52.353395061728406,0.6041666666666667,39.583333333333336,0.0515656644337124,50,0,0,0,606.7053638414848,204.40745765340276,402.29790618808204,-6.908313099780258,0,51.08024691358028,31.182795698924735,0.6380906768837813,2674.2243465173015,1542.3748410220837,0.7338355601970117,0.24392041267501854
