period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,19,21,1.0,0.475,0.525,40,0,0,0,0,0,0,0,416.6193518479377,0.9980235042735043,-0.10613714679531383,0.1806678659687261,118860.88935498327,3903.949336628518,122764.83869161179,0,0,0.0,30,10,21,46.05990121755111,0.5190972222222221,56.21639784946237,975.1344086021509,32.504480286738364,0
2,4,26,31,16,0.5531914893617021,0.6595744680851063,0.34042553191489366,47,400,300,100,0.75,5,3,2,276.177034960702,0.9956059204440333,-0.06636777316890474,0.1310635654688817,122796.25786675338,-2617.298719618061,120178.95914713532,1,0,0.44680851063829785,47,0,13,45.37024873007531,0.5305851063829787,52.213541666666664,991.1458333333326,21.08820921985814,0
3,4,29,27,18,0.6444444444444445,0.6,0.4,45,350,300,50,0.8571428571428571,4,3,1,310.643618680008,0.9977693602693604,-0.1861873497650054,0.14869602581947244,123163.8442020055,52.01245069035883,123215.85665269585,2,0,0.6,38,7,13,44.13410827682703,0.5468749999999998,51.84294871794873,992.628205128207,26.121794871794922,0
4,4,23,19,22,0.5609756097560976,0.4634146341463415,0.5365853658536586,41,300,300,0,1.0,3,3,0,332.3594541884408,0.9897357723577236,-0.0892422799983913,0.16348346326900312,124315.63227387269,863.4951379270462,125179.12741179974,3,0,1.0,37,4,17,42.399097489463074,0.5605292792792793,50.685307017543856,997.2587719298242,26.952939781887142,0
5,4,12,11,23,0.35294117647058826,0.3235294117647059,0.6764705882352942,34,550,300,250,0.5454545454545454,8,3,5,346.51593788162006,0.9796494355317885,-0.11107522502913725,0.17057053628508917,124346.09552154217,1817.5807823129546,126163.67630385513,4,0,1.6470588235294117,34,0,18,42.0145520012732,0.5667892156862744,50.65476190476192,997.3809523809542,29.334733893557477,0
6,4,9,9,23,0.28125,0.28125,0.71875,32,950,600,350,0.631578947368421,13,6,7,343.27218966608115,0.9670698924731184,0.01741712881270452,0.17347271037010742,125442.3097770635,2212.171270788685,127654.4810478522,5,0,2.46875,32,0,18,40.96110620956223,0.5826822916666667,49.5580808080808,1001.7676767676763,31.305239898989885,0
7,4,3,4,22,0.11538461538461539,0.15384615384615385,0.8461538461538461,26,950,700,250,0.7368421052631579,12,7,5,417.30823736670754,0.9696153846153847,0.0426808975943711,0.20711801474212654,124691.54854442916,5206.962067520191,129898.51061194934,6,0,3.5384615384615383,26,0,22,39.88881592501031,0.592948717948718,50.30864197530864,998.765432098765,38.41405508072173,0
8,4,8,7,23,0.26666666666666666,0.23333333333333334,0.7666666666666666,30,800,600,200,0.75,10,6,4,365.1678294724006,0.9675766283524905,-0.05023436453729757,0.18663300360509352,125908.90429890744,3195.5762588160514,129104.4805577235,7,0,3.4,30,0,22,39.930416052854774,0.5927083333333334,49.09274193548387,1003.6290322580649,33.45430107526883,0
9,4,8,5,26,0.25806451612903225,0.16129032258064516,0.8387096774193549,31,950,600,350,0.631578947368421,13,6,7,351.54341649475225,0.9609318996415771,0.006403254987952245,0.18404891453561517,126895.15007866749,2721.8309190538157,129616.9809977213,8,0,4.032258064516129,31,0,21,39.257021624881546,0.6001344086021505,48.111979166666664,1007.5520833333329,32.501680107526866,0
10,4,10,9,27,0.2777777777777778,0.25,0.75,36,1000,700,300,0.7,13,7,6,306.25512722311004,0.9563822751322753,0.008112531653387878,0.1658497814191375,128258.57688347124,655.9693561805,128914.54623965174,9,0,4.166666666666667,36,0,16,39.006855660552176,0.6027199074074074,46.762387387387385,1012.9504504504498,28.137512512512494,0
