period,entries,exits,firms,maxage,minage,avgage,actfirms,inactfirms,surviv,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,40,23,40,0,0,0.0,33,7,17,45.35001352307245,0.5287247474747474,54.56495098039216,981.7401960784322,29.74970291146764,0
2,32,28,49,1,0,0.3469387755102041,45,4,21,43.116041059280846,0.5407407407407407,51.449275362318836,994.2028985507238,22.09339774557164,0
3,16,15,37,2,0,0.9459459459459459,37,0,22,42.253991796674704,0.5625,50.49342105263157,998.0263157894719,26.97368421052627,0
4,17,17,39,3,0,1.3076923076923077,39,0,22,41.381414917930606,0.5710470085470085,49.32291666666667,1002.7083333333342,25.710470085470106,0
5,10,8,32,4,0,1.90625,32,0,24,40.82166729726322,0.5810546875,49.71590909090909,1001.1363636363639,31.28551136363637,0
6,7,5,31,5,0,2.7419354838709675,31,0,26,40.33502507891209,0.5903897849462365,49.055989583333336,1003.7760416666672,32.379872311827974,0
7,6,7,32,6,0,3.375,32,0,25,40.272194304857614,0.5911458333333334,48.73737373737374,1005.0505050505052,31.407828282828287,0
8,6,7,31,7,0,3.903225806451613,31,0,24,40.131514974718,0.5917338709677418,48.92578125000001,1004.296875000001,32.396673387096804,0
9,5,3,29,8,0,4.586206896551724,29,0,26,39.70435684647303,0.5969827586206896,48.95833333333334,1004.1666666666677,34.62643678160923,0
10,5,5,31,9,0,5.129032258064516,31,0,26,39.82429881337647,0.595766129032258,48.53515625000001,1005.859375000001,32.44707661290326,0
11,7,5,33,10,0,5.606060606060606,33,0,28,39.65431292764888,0.598800505050505,47.76348039215687,1008.9460784313742,30.574123588829522,0
12,2,1,30,11,0,6.933333333333334,30,0,29,39.456531411283166,0.601388888888889,48.25268817204301,1006.9892473118276,33.56630824372759,0
13,5,7,34,12,0,6.970588235294118,34,0,27,39.48467624769307,0.6007965686274508,47.35119047619049,1010.59523809524,29.723389355742352,0
14,3,0,30,13,0,7.3,30,0,30,39.10482724931166,0.60625,47.78225806451613,1008.8709677419353,33.629032258064505,0
15,5,8,35,14,0,7.114285714285714,35,0,27,39.21579829372333,0.6047619047619046,46.759259259259274,1012.9629629629649,28.941798941798996,0
16,1,0,28,15,0,9.107142857142858,28,0,28,38.93851328864166,0.6082589285714286,48.16810344827585,1007.3275862068951,35.975985221674826,0
17,7,6,35,16,0,8.085714285714285,35,0,29,38.79218957976803,0.6086309523809523,46.38310185185185,1014.467592592592,28.984788359788343,0
18,1,1,30,17,0,9.366666666666667,30,0,29,38.57102499335283,0.6118055555555557,47.24462365591396,1011.021505376342,33.70071684587807,0
19,3,1,32,18,0,9.6875,32,0,31,38.58412273048317,0.6116536458333335,46.748737373737356,1013.0050505050483,31.65640782828276,0
20,2,3,33,19,0,10.333333333333334,33,0,30,38.59227701232779,0.6117424242424243,46.50735294117646,1013.9705882352919,30.726381461675512,0
21,2,1,32,20,0,11.5625,32,0,31,38.54049844236761,0.6123046875000002,46.68560606060604,1013.257575757573,31.664299242424157,0
