period,entries,exits,firms,maxage,minage,avgage,actfirms,inactfirms,surviv,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,40,23,40,0,0,0.0,33,7,17,45.78937452901281,0.5132575757575757,56.06617647058824,975.7352941176474,29.567736185383254,0
2,34,32,51,1,0,0.3333333333333333,44,7,19,44.39782784841684,0.5321969696969697,52.40740740740741,990.3703703703718,22.50841750841754,0
3,25,25,44,2,0,0.7272727272727273,44,0,19,43.43396153249576,0.5437973484848484,51.27314814814816,994.9074074074093,22.61153198653203,0
4,21,17,40,3,0,1.125,40,0,23,42.45935684435838,0.5549479166666667,50.7367886178862,997.0528455284582,24.926321138211456,0
5,9,9,32,4,0,2.0625,32,0,23,41.974186272029705,0.5735677083333333,50.441919191919204,998.2323232323247,31.194760101010147,0
6,10,10,33,5,0,2.4545454545454546,33,0,23,41.69216646266829,0.5789141414141413,49.6936274509804,1001.2254901960794,30.340166369578164,0
7,13,11,36,6,0,2.8055555555555554,36,0,25,41.54586657676895,0.5749421296296295,49.4650900900901,1002.1396396396406,27.837212212212236,0
8,8,7,33,7,0,3.6666666666666665,33,0,26,41.29516138892286,0.5817550505050504,49.41789215686275,1002.3284313725496,30.373588829471203,0
9,5,4,31,8,0,4.741935483870968,31,0,27,41.07318882967203,0.5850134408602151,49.576822916666664,1001.6927083333329,32.312668010752674,0
10,9,10,36,9,0,4.833333333333333,36,0,26,41.01155826709954,0.5847800925925926,48.50788288288289,1005.9684684684692,27.943568568568587,0
11,7,5,33,10,0,5.515151515151516,33,0,28,40.772919970720984,0.5874368686868687,48.86642156862745,1004.5343137254904,30.440433749257284,0
12,6,8,34,11,0,6.176470588235294,34,0,26,40.67738531929159,0.5891544117647058,48.48214285714286,1006.0714285714294,29.590336134453803,0
13,6,5,32,12,0,6.34375,32,0,27,40.408819836785945,0.5927734374999998,48.579545454545475,1005.6818181818204,31.427556818181888,0
14,5,3,32,13,0,7.1875,32,0,29,40.331639056224915,0.5937499999999998,48.484848484848506,1006.0606060606085,31.439393939394016,0
15,4,4,33,14,0,7.848484848484849,33,0,29,40.25957405830596,0.5950126262626261,48.1311274509804,1007.4754901960794,30.5295603089721,0
16,4,2,33,15,0,8.333333333333334,33,0,31,39.67152010202841,0.5988005050505049,47.76348039215688,1008.9460784313749,30.57412358882954,0
17,3,4,34,16,0,9.0,34,0,30,39.58161481656061,0.5998774509803919,47.440476190476204,1010.2380952380973,29.712885154061688,0
18,2,1,32,17,0,10.125,32,0,31,39.49207342511477,0.6009114583333333,47.790404040404056,1008.8383838383858,31.526199494949555,0
19,5,3,36,18,0,9.86111111111111,36,0,33,39.30808867141165,0.6018518518518516,46.84684684684687,1012.6126126126164,28.128128128128235,0
20,1,2,34,19,0,11.0,34,0,32,39.18176825919823,0.6035539215686272,47.08333333333336,1011.6666666666699,29.75490196078441,0
21,2,0,34,20,0,11.588235294117647,34,0,34,38.494791054713495,0.6075367647058822,46.696428571428584,1013.2142857142875,29.80042016806728,0
22,0,0,34,21,1,12.588235294117647,34,0,34,38.494791054713495,0.6075367647058822,46.696428571428584,1013.2142857142875,29.80042016806728,0
23,2,2,36,22,0,12.833333333333334,36,0,34,38.20676684780601,0.609085648148148,46.14301801801803,1015.4279279279299,28.206331331331384,0
24,0,2,34,23,1,14.235294117647058,34,0,32,38.15669758159192,0.6096813725490196,46.48809523809524,1014.0476190476195,29.82492997198881,0
25,2,3,34,24,0,14.647058823529411,34,0,31,37.53957087583538,0.6130514705882353,46.160714285714285,1015.3571428571428,29.86344537815126,0
26,2,2,33,25,0,14.969696969696969,33,0,31,37.42140025755565,0.6145833333333335,46.23161764705882,1015.073529411764,30.759803921568604,0
27,1,2,32,26,0,15.875,32,0,30,37.39237105274076,0.6149088541666667,46.433080808080796,1014.2676767676757,31.695864898989864,0
28,0,0,30,27,2,17.3,30,0,30,37.28738111037381,0.6163194444444446,46.807795698924714,1012.768817204299,33.758960573476635,0
29,4,5,34,28,0,16.147058823529413,34,0,29,37.21823770491804,0.616421568627451,45.83333333333333,1016.6666666666658,29.9019607843137,0
30,1,5,30,29,0,17.433333333333334,30,0,25,37.02273631181229,0.6190972222222224,46.538978494623635,1013.8440860215026,33.79480286738342,0
31,4,3,29,30,0,14.89655172413793,29,0,26,36.88904301959171,0.6217672413793104,46.56249999999999,1013.7499999999994,34.95689655172412,0
32,1,0,27,31,0,16.962962962962962,27,0,27,36.737356659805926,0.6242283950617284,46.94940476190476,1012.2023809523808,37.488977072310405,0
33,2,2,29,32,0,16.724137931034484,29,0,27,36.88070776255707,0.6221264367816093,46.527777777777764,1013.8888888888874,34.96168582375474,0
34,2,3,29,33,0,17.655172413793103,29,0,26,36.764672325666304,0.6235632183908046,46.388888888888886,1014.4444444444442,34.98084291187739,0
35,0,0,26,34,1,19.5,26,0,26,36.553030303030305,0.6266025641025641,47.067901234567906,1011.728395061729,38.91263057929727,0
36,0,0,26,35,2,20.5,26,0,26,36.553030303030305,0.6266025641025641,47.067901234567906,1011.728395061729,38.91263057929727,0
37,4,3,30,36,0,18.633333333333333,30,0,27,36.60300925925925,0.625,45.967741935483865,1016.1290322580638,33.87096774193546,0
38,1,0,28,37,0,20.928571428571427,28,0,28,36.42161026947945,0.6276041666666666,46.300287356321846,1014.7988505747134,36.24281609195405,0
39,3,2,31,38,0,19.806451612903224,31,0,29,36.571644910843794,0.6256720430107527,45.63802083333333,1017.4479166666658,32.82090053763438,0
40,1,0,30,39,0,21.433333333333334,30,0,30,36.468796810291664,0.6270833333333334,45.766129032258064,1016.9354838709676,33.897849462365585,0
41,0,1,30,40,1,22.433333333333334,30,0,29,36.468796810291664,0.6270833333333334,45.766129032258064,1016.9354838709676,33.897849462365585,0
