firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology
70606,2139,373,3,38.80537974683546,0.625,37.5,0.0049977283053158125,50,1,0,1,62,106,85,83,294323.96362914203,294517.92239586404,-193.9587667219883,-195.5196697371552,42.9309811293368,12.135294540504912,1665.9530256281416,472.19480734480493,6006327521504166408156290780
70606,2140,374,3,38.67026748971195,0.625,37.5,0.004478126076472644,50,1,0,1,62,107,86,83,294118.5095373733,294323.96362914203,-205.45409176872943,-193.9587667219883,38.06472334135785,42.9309811293368,1471.97303353219,1665.9530256281416,6006327521504166408156290780
70631,2100,334,3,39.77272727272727,0.65625,34.375,0.020742358078602627,0,0,0,0,46,98,82,62,14265.27888458316,13554.532840863138,710.7460437200225,716.4970000262473,168.7276880997094,174.40547368894673,6710.760322147534,6961.685158083791,65512725973494219816407584150
70631,2101,335,3,39.637445887445885,0.65625,34.375,0.02021199210225503,0,0,0,0,46,98,82,62,14938.188149415957,14265.27888458316,672.9092648327974,710.7460437200225,165.87520014509101,168.7276880997094,6574.869269820301,6710.760322147534,65512725973494219816407584150
70631,2102,336,3,39.488636363636374,0.65625,34.375,0.01962922573609596,0,0,0,0,46,98,82,62,15552.8330633671,14938.188149415957,614.6449139511428,672.9092648327974,159.30833872822316,165.87520014509101,6290.869057733814,6574.869269820301,65512725973494219816407584150
70631,2103,337,3,39.319029850746276,0.65625,34.375,0.018965825729110743,0,0,0,0,46,98,82,62,16103.85384377236,15552.8330633671,551.0207804052599,614.6449139511428,151.9045804895165,159.30833872822316,5972.740734732389,6290.869057733814,65512725973494219816407584150
70631,2104,338,3,39.11533816425122,0.65625,34.375,0.01817024477750129,0,0,0,0,46,98,82,62,16598.776042171223,16103.85384377236,494.9221983988617,551.0207804052599,146.59760006987415,151.9045804895165,5734.214700800786,5972.740734732389,65512725973494219816407584150
70631,2105,339,3,38.99647887323945,0.65625,34.375,0.017706576728499155,0,0,0,0,46,98,82,62,17064.06523411035,16598.776042171223,465.2891919391262,494.9221983988617,143.95590896054205,146.59760006987415,5613.773562457759,5734.214700800786,65512725973494219816407584150
70631,2106,340,3,38.845486111111114,0.65625,34.375,0.01711816519860395,0,0,0,0,46,98,82,62,17485.444858926767,17064.06523411035,421.37962481641944,465.2891919391262,138.99598597835237,143.95590896054205,5399.366642822282,5613.773562457759,65512725973494219816407584150
70631,2107,341,3,38.79851598173516,0.65625,34.375,0.016935263589183288,0,0,0,0,46,98,82,62,17898.937434564075,17485.444858926767,413.4925756373095,421.37962481641944,138.68890226020218,138.99598597835237,5380.92359083176,5399.366642822282,65512725973494219816407584150
70631,2108,342,3,38.75281531531532,0.65625,34.375,0.01675736839269357,0,0,0,0,46,98,82,62,18295.66345165285,17898.937434564075,396.72601708877346,413.4925756373095,136.30680467519758,138.68890226020218,5282.27242779869,5380.92359083176,65512725973494219816407584150
