firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,profits_growthrate,output,previous_output,output_growthrate,revenues,previous_revenues,revenues_growthrate,pcm
68,4961,4959,3,40.076754385964904,0.65625,34.375,0.021936300358574152,0,0,0,0,717,1240,1111,846,253293.91531601205,252448.59382909883,845.3214869132175,911.1278885647512,-0.07222520842293034,183.3333069355492,190.47906661110014,-0.037514671836041735,7347.4039128227205,7658.845803321318,-0.04066433748588316,0.14227086183310517
68,4962,4960,3,39.96571729957805,0.65625,34.375,0.021499923938948347,100,1,1,0,717,1241,1111,847,253995.55762465787,253293.91531601205,701.6423086458334,845.3214869132175,-0.1699698641188504,179.1616808672172,183.3333069355492,-0.022754327285431697,7160.325088456425,7347.4039128227205,-0.025461894648231453,0.13988782580006584
68,4963,4961,3,39.83072916666666,0.6666666666666667,33.333333333333336,0.024973725038786868,100,1,1,0,718,1241,1112,847,255051.67803646997,253995.55762465787,1056.1204118121016,701.6423086458334,0.5052119845087584,208.7175303149691,179.1616808672172,0.1649674713068625,8313.371422311073,7160.325088456425,0.16103267932814114,0.1631252043151354
68,4964,4962,3,39.69907407407406,0.6666666666666667,33.333333333333336,0.02445531347265455,0,0,0,0,718,1241,1112,847,256138.07953363584,255051.67803646997,1086.40149716589,1056.1204118121016,0.028672000858152025,202.08198064569663,208.7175303149691,-0.031792009321205406,8022.467518689112,8313.371422311073,-0.03499228999214998,0.16034985422740494
68,4965,4963,3,39.596036585365844,0.6666666666666667,33.333333333333336,0.024049953656275946,50,1,0,1,718,1242,1113,847,257137.56783743564,256138.07953363584,999.4883037998002,1086.40149716589,-0.08000098820999557,199.51261516251614,202.08198064569663,-0.012714471003158256,7899.908809217005,8022.467518689112,-0.015276934333058323,0.15816490214950246
68,4966,4964,3,39.53737745098038,0.6666666666666667,33.333333333333336,0.02381932600129389,50,1,0,1,718,1243,1114,847,258097.50935215334,257137.56783743564,959.9415147177003,999.4883037998002,-0.03956703538375894,195.02464711301647,199.51261516251614,-0.02249465802372408,7710.763085151583,7899.908809217005,-0.023942773091854108,0.15691592406044136
68,4967,4965,3,39.479166666666664,0.6666666666666667,33.333333333333336,0.023590563774490196,0,0,0,0,718,1243,1114,847,259080.2888911062,258097.50935215334,982.7795389528524,959.9415147177003,0.023791057981139785,192.45226396521002,195.02464711301647,-0.0131900412890672,7597.855004459853,7710.763085151583,-0.014642919182558445,0.15567282321899725
68,4968,4966,3,39.38078703703703,0.6666666666666667,33.333333333333336,0.023204174530920402,50,1,0,1,718,1244,1115,847,259994.64573243263,259080.2888911062,914.3568413264279,982.7795389528524,-0.06962161391692034,192.53671022125073,192.45226396521002,0.00043879066060759087,7582.2471820347855,7597.855004459853,-0.002054240626585546,0.1535635562086699
68,4969,4967,3,42.07175925925925,0.5833333333333333,41.666666666666664,0.0015705631590755963,0,0,0,0,718,1244,1115,847,259799.82376806485,259994.64573243263,-194.82196436779597,914.3568413264279,0,12.782350817783787,192.53671022125073,-0.9336108381456444,537.7759863731951,7582.2471820347855,-0.9290743267184179,0.009628610729023278
68,4970,4968,3,41.89967105263157,0.5833333333333333,41.666666666666664,0.0009027667144601684,0,0,0,0,718,1244,1115,847,259601.54323493133,259799.82376806485,-198.28053313351515,-194.82196436779597,0,7.379547210514062,12.782350817783787,-0.4226768365450375,309.2006006379041,537.7759863731951,-0.4250382901565055,0.00556100752371586
68,4971,4969,3,41.757812499999986,0.5833333333333333,41.666666666666664,0.0003529471083547179,100,1,1,0,718,1245,1115,848,259301.8077517102,259601.54323493133,-299.73548322112435,-198.28053313351515,0,2.902126945378643,7.379547210514062,-0.6067337381833107,121.18647283631907,309.2006006379041,-0.6080652088440246,0.002182725288431273
