firm_id,period,age,status,price,closer_tech,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_not_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div,mkt_size,mean_mkt_size
184512,4997,384,3,39.48252688172043,4,0.625,37.5,0.007609957435831294,0,0,0,0,48,112,83,77,1222.1008858706373,1406.3792345236607,-184.27834865302344,-183.1944083130998,7.930107526881727,8.198924731182785,313.1006836050413,324.2652691062546,58541354638688586054350720636,0.0,0.47885304659498207,4,4
184512,4998,385,3,39.38172043010753,4,0.625,37.5,0.007220216606498199,0,0,0,0,48,112,83,77,1036.2643729789736,1222.1008858706373,-185.83651289166377,-184.27834865302344,7.5268817204301115,7.930107526881727,296.4215516244654,313.1006836050413,58541354638688586054350720636,0.0,0.478584229390681,4,4
184512,4999,386,3,39.314516129032256,4,0.625,37.5,0.006960556844547558,0,0,0,0,48,112,83,77,849.4342481090464,1036.2643729789736,-186.83012486992718,-185.83651289166377,7.258064516129025,7.5268817204301115,285.34729448491123,296.4215516244654,58541354638688586054350720636,0.0,0.47876344086021505,4,4
184512,5000,387,3,39.21370967741936,4,0.625,37.5,0.006571318129107087,50,1,0,1,48,113,84,77,611.1814515429694,849.4342481090464,-238.25279656607694,-186.83012486992718,6.854838709677438,7.258064516129025,268.803655046827,285.34729448491123,58541354638688586054350720636,0.0,0.4789426523297491,4,4
185482,4960,322,2,40.49479166666665,4,0.59375,40.625,0.0,0,0,0,0,49,89,74,64,13880.851597117902,14080.851597117902,-200.0,-198.97969594939295,0,2.0202020202019924,0.0,83.09101112131299,58921898360064124365407046438,0.0,0.48336640211640214,4,4
185482,4961,323,3,42.88194444444444,3,0.5729166666666667,42.708333333333336,0.0006752194463200387,0,0,0,0,49,89,74,64,13680.972160389507,13880.851597117902,-199.87943672839506,-200.0,0.6944444444444287,0,29.779128086419075,0.0,58921898360064124365407046438,8.0,0.4830853174603174,4,4
185482,4962,324,3,42.88690476190475,3,0.5729166666666667,42.708333333333336,0.0006945248292625995,50,1,0,1,49,90,75,64,13431.099711409915,13680.972160389507,-249.87244897959187,-199.87943672839506,0.7142857142856656,0.6944444444444287,30.633503401358446,29.779128086419075,58921898360064124365407046438,0.0,0.4822829131652661,4,4
185482,4963,325,3,43.014705882352935,3,0.5729166666666667,42.708333333333336,0.001192179303767254,100,1,1,0,49,91,75,65,13131.475167965087,13431.099711409915,-299.62454344482893,-249.87244897959187,1.2254901960783968,0.7142857142856656,52.714100346019265,30.633503401358446,58921898360064124365407046438,0.0,0.48343731431966724,4,4
185482,4964,326,3,42.80024509803921,3,0.5729166666666667,42.708333333333336,0.0003573555687909259,0,0,0,0,49,91,75,65,12931.508959055052,13131.475167965087,-199.9662089100346,-299.62454344482893,0.3676470588235077,1.2254901960783968,15.735384227219368,52.714100346019265,58921898360064124365407046438,0.0,0.4844399881164587,4,4
185482,4965,327,2,42.675781250000014,3,0.5729166666666667,42.708333333333336,0.0,50,1,0,1,49,92,76,65,12681.508959055052,12931.508959055052,-250.0,-199.9662089100346,0,0.3676470588235077,0.0,15.735384227219368,58921898360064124365407046438,0.0,0.4838458110516934,4,4
