period,entries,exits,firms,maxage,minage,avgage,actfirms,inactfirms,surviv,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,40,29,40,0,0,0.0,33,7,11,44.476601883097935,0.5255681818181817,54.87132352941177,980.5147058823534,29.7125668449198,0
2,40,36,51,1,0,0.21568627450980393,37,14,15,43.6972383019778,0.5289977477477477,53.75548245614035,984.9780701754387,26.621028923660504,0
3,34,32,49,2,0,0.5306122448979592,43,6,17,42.56429207196898,0.5402131782945736,51.751893939393945,992.9924242424252,23.092847075405235,0
4,24,21,41,3,0,0.9512195121951219,37,4,20,41.73866387849441,0.5579954954954953,50.93201754385966,996.2719298245624,26.926268373636823,0
5,20,23,40,4,0,1.475,40,0,17,41.52721347553751,0.5638020833333333,49.87296747967481,1000.5081300813029,25.012703252032573,0
6,26,23,43,5,0,1.302325581395349,43,0,20,40.91770951839213,0.5552325581395348,50.284090909090914,998.8636363636372,23.229386892177608,0
7,12,11,32,6,0,2.28125,32,0,21,39.86287850153291,0.5836588541666665,49.46338383838385,1002.1464646464657,31.317077020202053,0
8,9,10,30,7,0,2.933333333333333,30,0,20,39.712651383116594,0.5899305555555556,49.361559139784944,1002.5537634408599,33.418458781362,0
9,17,15,37,8,0,2.810810810810811,37,0,22,39.693173565722574,0.5844594594594594,48.35526315789473,1006.5789473684204,27.204836415362713,0
10,6,6,28,9,0,4.5,28,0,22,39.32034197831589,0.5963541666666667,49.31752873563218,1002.7298850574712,35.8117816091954,0
11,9,5,31,10,0,4.774193548387097,31,0,26,38.983422707498804,0.6004704301075268,48.07942708333335,1007.6822916666686,32.505880376344145,0
12,3,4,29,11,0,6.0,29,0,25,38.78473658805681,0.6045258620689655,48.229166666666664,1007.083333333333,34.727011494252864,0
13,4,2,29,12,0,6.413793103448276,29,0,27,38.713961635653575,0.605962643678161,48.09027777777777,1007.6388888888883,34.74616858237546,0
14,4,4,31,13,0,6.870967741935484,31,0,27,38.80288957688341,0.6048387096774193,47.65625000000001,1009.3750000000007,32.560483870967765,0
15,6,6,33,14,0,7.2727272727272725,33,0,27,38.660771963824295,0.606060606060606,47.05882352941177,1011.7647058823535,30.6595365418895,0
16,4,3,31,15,0,8.483870967741936,31,0,28,38.16231823446145,0.6112231182795698,47.03776041666667,1011.8489583333339,32.640288978494645,0
17,2,4,30,16,0,8.966666666666667,30,0,26,38.100657982187926,0.6121527777777778,47.211021505376344,1011.1559139784952,33.705197132616505,0
18,4,3,30,17,0,9.433333333333334,30,0,27,38.05987506645401,0.6125,47.17741935483871,1011.2903225806451,33.70967741935484,0
19,3,2,30,18,0,10.333333333333334,30,0,28,38.00789380452594,0.6135416666666667,47.07661290322581,1011.6935483870967,33.72311827956989,0
20,7,8,35,19,0,9.657142857142857,35,0,27,38.07859816102435,0.6110119047619047,46.15162037037038,1015.3935185185202,29.011243386243432,0
21,5,2,32,20,0,10.84375,32,0,30,37.70112797544995,0.6165364583333334,46.275252525252526,1014.8989898989901,31.71559343434344,0
22,2,0,32,21,0,11.78125,32,0,32,37.49585663973481,0.6188151041666667,46.05429292929293,1015.7828282828284,31.743213383838388,0
