period,entries,exits,firms,maxage,minage,avgage,actfirms,inactfirms,surviv,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,40,25,40,0,0,0.0,34,6,15,48.70883003563968,0.492953431372549,57.82738095238095,968.6904761904756,28.4908963585434,0
2,39,37,54,1,0,0.2777777777777778,43,11,17,46.78911205073995,0.520833333333333,53.645833333333364,985.4166666666721,22.916666666666792,0
3,38,38,55,2,0,0.5454545454545454,42,13,17,43.3562177427208,0.546875,51.235465116279066,995.0581395348831,23.691860465116264,0
4,25,19,42,3,0,0.7142857142857143,36,6,23,41.93321078431373,0.5578703703703702,51.12612612612614,995.4954954954973,27.6526526526527,0
5,15,16,38,4,0,1.394736842105263,38,0,22,41.874911101628584,0.5696271929824561,49.62606837606838,1001.4957264957277,26.355150697255993,0
6,10,9,32,5,0,2.0625,32,0,23,41.431234989255465,0.5751953125,50.28409090909092,998.863636363638,31.214488636363686,0
7,11,7,34,6,0,2.4705882352941178,34,0,27,40.95088385336338,0.5824142156862746,49.13690476190475,1003.4523809523798,29.51330532212882,0
8,5,5,32,7,0,3.4375,32,0,27,40.53271037838743,0.5865885416666667,49.17929292929292,1003.2828282828273,31.352588383838352,0
9,3,3,30,8,0,4.366666666666666,30,0,27,40.32161685207523,0.590625,49.29435483870967,1002.8225806451605,33.42741935483868,0
10,5,4,32,9,0,4.6875,32,0,28,40.08082234777149,0.5927734375,48.579545454545446,1005.6818181818171,31.427556818181785,0
11,11,15,39,10,0,4.410256410256411,39,0,24,39.60252221193098,0.5953525641025641,46.953125,1012.1875000000002,25.953525641025646,0
12,3,2,27,11,0,5.703703703703703,27,0,25,39.092692117617986,0.6022376543209875,49.06994047619048,1003.7202380952388,37.17482363315699,0
13,4,2,29,12,0,6.172413793103448,29,0,27,38.90331056529137,0.6030890804597699,48.368055555555564,1006.5277777777793,34.70785440613032,0
14,2,2,29,13,0,7.103448275862069,29,0,27,38.85369259412495,0.6045258620689654,48.22916666666667,1007.0833333333339,34.72701149425289,0
15,2,1,29,14,0,7.586206896551724,29,0,28,38.63063668090187,0.6073994252873562,47.9513888888889,1008.1944444444457,34.76532567049813,0
16,1,0,29,15,0,8.551724137931034,29,0,29,38.582122526741045,0.6081178160919539,47.88194444444446,1008.4722222222236,34.774904214559434,0
17,1,2,30,16,0,9.233333333333333,30,0,28,38.5596933794817,0.6083333333333333,47.58064516129033,1009.6774193548398,33.65591397849466,0
18,0,0,28,17,1,10.035714285714286,28,0,28,38.43328344735842,0.6101190476190477,47.98850574712644,1008.0459770114946,36.00164203612481,0
19,3,2,31,18,0,9.96774193548387,31,0,29,38.573069655587055,0.6081989247311828,47.33072916666667,1010.6770833333339,32.602486559139805,0
20,1,4,30,19,0,11.266666666666667,30,0,26,39.88322824434309,0.5881944444444445,49.52956989247312,1001.8817204301077,33.39605734767026,8
21,6,5,32,20,0,10.15625,32,0,27,39.46895938023451,0.5911458333333333,48.737373737373744,1005.0505050505058,31.407828282828305,0
22,6,5,33,21,0,10.333333333333334,33,0,28,39.295509388814544,0.5943813131313131,48.192401960784316,1007.230392156863,30.522133095662515,0
23,6,7,34,22,0,10.852941176470589,34,0,27,39.176499508357935,0.5965073529411764,47.767857142857146,1008.9285714285713,29.674369747899156,0
24,4,3,31,23,0,10.516129032258064,31,0,28,38.793270472746045,0.601478494623656,47.981770833333336,1008.0729166666674,32.518481182795725,0
25,3,5,31,24,0,11.419354838709678,31,0,26,38.373278459221,0.602486559139785,47.88411458333333,1008.4635416666663,32.5310819892473,1
26,5,5,31,25,0,11.870967741935484,31,0,26,38.31741524694545,0.603494623655914,47.786458333333336,1008.854166666667,32.543682795698935,0
27,3,4,29,26,0,12.793103448275861,29,0,25,38.16261773489548,0.6059626436781609,48.090277777777786,1007.63888888889,34.74616858237552,0
28,3,3,28,27,0,13.214285714285714,28,0,25,38.12511884388667,0.6086309523809523,48.13218390804598,1007.4712643678164,35.98111658456487,0
29,4,2,29,28,0,13.620689655172415,29,0,27,37.961291099188344,0.610991379310345,47.60416666666666,1009.5833333333319,34.81321839080455,0
30,3,2,30,29,0,14.066666666666666,30,0,28,37.94264947037186,0.6114583333333334,47.2782258064516,1010.8870967741923,33.69623655913974,0
31,3,2,31,30,0,13.67741935483871,31,0,29,38.109651382448924,0.6088709677419355,47.265625,1010.9374999999998,32.610887096774185,2
32,3,2,32,31,0,14.03125,32,0,30,38.086773938713556,0.6097005208333334,46.938131313131315,1012.2474747474749,31.632733585858592,0
33,3,1,33,32,0,14.515151515151516,33,0,32,37.89027878494884,0.6117424242424243,46.50735294117646,1013.9705882352923,30.726381461675526,0
34,3,2,35,33,0,13.857142857142858,35,0,33,37.791467372736584,0.6133928571428573,45.92013888888887,1016.3194444444421,29.037698412698344,0
35,0,2,33,34,1,15.636363636363637,33,0,31,37.722369797955395,0.6142676767676769,46.262254901960766,1014.9509803921546,30.756090314913777,0
36,4,5,35,35,0,15.17142857142857,35,0,30,37.75629530532467,0.6139880952380954,45.8622685185185,1016.550925925923,29.044312169312086,0
37,1,1,31,36,0,17.70967741935484,31,0,30,37.49571991097415,0.6169354838709677,46.484375,1014.0624999999999,32.711693548387096,0
38,1,1,31,37,0,17.838709677419356,31,0,30,37.4664409789073,0.6179435483870968,46.38671875,1014.4531249999999,32.724294354838705,0
39,3,3,33,38,0,17.666666666666668,33,0,30,37.511433080046665,0.617108585858586,45.98651960784313,1016.0539215686258,30.78951277480684,0
40,1,1,31,39,0,19.0,31,0,30,37.379864229206774,0.6192876344086022,46.256510416666664,1014.9739583333326,32.7410954301075,0
41,0,0,30,40,2,20.633333333333333,30,0,30,37.36710963455149,0.6128472222222221,47.14381720430108,1011.4247311827962,33.71415770609321,5
42,1,1,31,41,0,20.93548387096774,31,0,30,37.41585198524999,0.6122311827956989,46.94010416666667,1012.239583333334,32.65288978494626,0
43,1,2,31,42,0,21.903225806451612,31,0,29,37.36282578875172,0.6129032258064515,46.87500000000001,1012.5000000000008,32.66129032258067,0
44,0,1,29,43,1,23.75862068965517,29,0,28,37.229355488418946,0.61566091954023,47.15277777777777,1011.3888888888881,34.87547892720304,0
45,3,2,31,44,0,22.774193548387096,31,0,29,37.26725448627351,0.615255376344086,46.647135416666664,1013.4114583333328,32.69069220430106,0
46,0,0,29,45,1,25.344827586206897,29,0,29,38.280315576409976,0.6027298850574712,48.402777777777786,1006.3888888888897,34.703065134099646,5
47,4,3,33,46,0,23.151515151515152,33,0,30,38.31976121153302,0.6019570707070707,47.45710784313726,1010.1715686274517,30.611259655377324,0
48,0,0,30,47,1,26.4,30,0,30,38.184257901053456,0.6038194444444444,48.017473118279575,1007.9301075268825,33.59767025089608,0
49,2,2,32,48,0,25.6875,32,0,30,38.17638663166229,0.6038411458333333,47.506313131313135,1009.9747474747481,31.56171085858588,0
50,3,2,33,49,0,24.727272727272727,33,0,31,38.095815155921784,0.6047979797979797,47.18137254901961,1011.2745098039225,30.644682115270378,0
