period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
27,4,4,0,0,28,0.0,0.0,1.0,28,850,600,250,0.7058823529411765,11,6,5,380.6104802805516,0.48633156966490304,0.1436626525433966,0.2146304250485082,129859.55253335975,3435.1813317479146,133294.73386510767,26,2,15.75,28,0,18,35.48832346583966,0.6391369047619048,45.1867816091954,1019.2528735632184,36.40188834154351,0.0
28,4,4,2,2,28,0.06666666666666667,0.06666666666666667,0.9333333333333333,30,950,700,250,0.7368421052631579,12,7,5,389.46292948420285,0.489918582375479,0.2333068643020999,0.21448847632526477,128928.23592322793,3092.553691178141,132020.78961440607,27,0,15.633333333333333,30,0,17,36.21377051349919,0.6236111111111111,46.102150537634394,1015.5913978494608,33.853046594982025,7.5
29,4,4,2,0,30,0.06666666666666667,0.0,1.0,30,700,300,400,0.42857142857142855,11,3,8,381.9695088701063,0.4893438697318007,0.2149136715997182,0.21255479728889448,129338.0737657533,3180.6401029020767,132518.71386865538,28,0,15.3,30,0,20,35.985399048625794,0.6277777777777778,45.6989247311828,1017.2043010752691,33.906810035842305,0.0
30,4,4,0,1,29,0.0,0.03333333333333333,0.9666666666666667,30,1100,700,400,0.6363636363636364,15,7,8,380.40097792684406,0.48891283524904217,0.2123998238661382,0.2120497351182774,129406.44330269385,2745.2675164758793,132151.71081916973,29,1,16.3,30,0,20,35.95552619991194,0.6284722222222222,45.63172043010752,1017.473118279569,33.91577060931897,0.0
31,4,4,3,0,32,0.09375,0.0,1.0,32,750,600,150,0.8,9,6,3,358.1607013633639,0.48937331989247307,0.21308927245731235,0.2035622214077854,130165.93491735544,2174.064508723605,132339.99942607904,30,0,15.3125,32,0,21,35.7491957436278,0.630859375,44.88636363636364,1020.454545454546,31.88920454545456,0.0
32,4,4,0,2,30,0.0,0.0625,0.9375,32,950,700,250,0.7368421052631579,12,7,5,359.28142979908876,0.489289314516129,0.21706498886965164,0.20487656144960725,130294.81207274774,2012.501275380078,132307.31334812782,31,1,16.3125,32,0,20,35.58980542501443,0.6321614583333333,44.76010101010102,1020.9595959595964,31.904987373737388,0.0
33,4,4,1,1,30,0.03225806451612903,0.03225806451612903,0.967741935483871,31,1200,800,400,0.6666666666666666,16,8,8,365.0142594462492,0.4871415770609319,0.20292477504893802,0.2086859949778704,130395.54172092027,2119.246419270852,132514.7881401911,31,0,16.580645161290324,31,0,21,35.341237463878976,0.635752688172043,44.66145833333334,1021.3541666666678,32.94690860215057,0.0
34,4,4,0,1,29,0.0,0.03333333333333333,0.9666666666666667,30,800,400,400,0.5,12,4,8,374.77181665691944,0.4874281609195403,0.19670879410215858,0.2137212251746216,130296.89125910512,2966.3205283847833,133263.2117874899,32,1,17.633333333333333,30,0,22,35.192316131297154,0.6375,44.75806451612903,1020.967741935484,34.032258064516135,0.0
35,4,4,1,1,29,0.03333333333333333,0.03333333333333333,0.9666666666666667,30,950,700,250,0.7368421052631579,12,7,5,372.79619406762487,0.4867816091954023,0.1890028490028488,0.2142944108756073,130605.83457986459,2787.871610879853,133393.70619074444,33,0,18.1,30,0,18,34.929048871356564,0.640625,44.45564516129031,1022.1774193548376,34.07258064516125,0.0
36,4,4,0,1,28,0.0,0.034482758620689655,0.9655172413793104,29,500,200,300,0.4,8,2,6,384.1041577317906,0.486247947454844,0.18392054482477382,0.2202536467991258,130510.82417052466,3725.950038580239,134236.77420910491,34,1,19.06896551724138,29,0,19,34.736617054052815,0.6426005747126438,44.54861111111111,1021.8055555555553,35.23467432950191,0.0
