firm_id,period,age,status,price,closer_tech,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_not_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div,mkt_size,mean_mkt_size
169285,5000,767,3,39.21370967741936,3,0.6354166666666667,36.458333333333336,0.01056564875660353,0,0,0,0,96,187,155,128,8695.181613172983,8864.813217982788,-169.63160480980454,-167.368879350214,11.021505376344095,11.424731182795682,432.19411203607393,449.15777835587863,52704012717987737406414966614,0.0,0.4789426523297491,4,4
181911,5000,452,3,39.21370967741936,1,0.6979166666666667,30.208333333333332,0.03453163252158227,50,1,0,1,65,130,105,90,62964.485074788594,62890.0978623941,74.38721239449688,31.690260434732295,36.02150537634411,36.424731182795696,1412.5368539715585,1432.0206815816855,63413177602382176504991369724,0.0,0.4789426523297491,4,4
182964,5000,425,3,39.21370967741936,4,0.6979166666666667,30.208333333333332,0.03453163252158227,100,1,1,0,71,134,115,90,44432.79453991166,44408.40732751716,24.387212394496885,60.14568158168561,36.02150537634411,32.258064516129025,1412.5368539715585,1268.2101977107177,58206501771761430406721786158,0.0,0.4789426523297491,4,4
183281,5000,417,3,39.21370967741936,2,0.6145833333333333,38.541666666666664,0.002576987501610642,0,0,0,0,42,109,80,71,15971.23147597043,16169.424908737223,-198.19343276679382,-197.61081483408486,2.6881720430107805,3.0913978494623677,105.41319805758002,121.53681061394389,76409530272984089693067575747,0.0,0.4789426523297491,4,4
184512,5000,387,3,39.21370967741936,4,0.625,37.5,0.006571318129107087,50,1,0,1,48,113,84,77,611.1814515429694,849.4342481090464,-238.25279656607694,-186.83012486992718,6.854838709677438,7.258064516129025,268.803655046827,285.34729448491123,58541354638688586054350720636,0.0,0.4789426523297491,4,4
185482,5000,362,3,39.21370967741936,3,0.6666666666666667,33.333333333333336,0.02254864063909289,0,0,0,0,58,101,89,70,7417.972393407526,7479.657089615181,-61.68469620765396,-106.90180945774097,23.521505376344095,23.924731182795682,922.3654830038159,940.5892299687819,57688796385384560328544406310,0.0,0.4789426523297491,4,4
187103,5000,322,3,39.21370967741936,5,0.7291666666666667,27.083333333333332,0.04651462440407163,50,1,0,1,44,90,80,54,40637.9679538785,40299.38383288185,338.5841209966476,398.4073303272054,48.52150537634411,48.924731182795696,1902.7082249393004,1923.4521331945887,30734003094969485554833935270,0.0,0.4789426523297491,4,4
193385,5000,165,3,39.21370967741936,1,0.6770833333333333,32.291666666666664,0.026542971266589364,100,1,1,0,25,54,42,37,12102.483402509857,12210.824684739016,-108.34128222915905,-2.718341715805252,27.68817204301078,28.091397849462368,1085.755939993064,1104.3997138397503,20863866968665825500096781420,0.0,0.4789426523297491,4,4
193578,5000,160,2,39.21370967741936,3,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,26,61,47,40,5270.356352147752,5470.356352147752,-200.0,-200.0,0,0,0.0,0.0,57123931897460624300393769588,0.0,0.4789426523297491,4,4
193617,5000,159,3,39.21370967741936,2,0.6458333333333333,35.416666666666664,0.014559979384100002,0,0,0,0,25,51,38,38,3447.682823464091,3590.0126809620674,-142.32985749797643,-139.22707827494506,15.18817204301078,15.591397849462368,595.584569025322,612.9682622268471,78723061887018077608228408541,0.0,0.4789426523297491,4,4
193819,5000,154,3,39.21370967741936,3,0.6770833333333333,32.291666666666664,0.026542971266589364,0,0,0,0,40,57,53,44,4490.255367064369,4498.596649293529,-8.341282229159049,-2.718341715805252,27.68817204301078,28.091397849462368,1085.755939993064,1104.3997138397503,10383854680110452521435105645,0.0,0.4789426523297491,4,4
195432,5000,114,3,39.21370967741936,5,0.6770833333333333,32.291666666666664,0.026542971266589364,0,0,0,0,23,43,35,31,7648.168822480948,7656.510104710107,-8.341282229159049,-2.718341715805252,27.68817204301078,28.091397849462368,1085.755939993064,1104.3997138397503,70331932673743670533942018788,0.0,0.4789426523297491,4,4
