firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div
18,5000,4999,2,38.59863281250002,0.5625,43.75,0.0,0,0,0,0,608,1147,980,775,633576.6047700525,633776.6047700525,-200.0,-200.0,0,0,0.0,0.0,9459618759672155243075317522,0,0.4358390657734958
19,5000,4999,3,38.59863281250002,0.625,37.5,0.00420285794340155,50,1,0,1,657,1170,1052,775,1024846.7869452252,1024941.3451084996,-94.55816327437336,-9.185269194304425,141.48661405070098,156.6523141731696,5461.189863626913,6065.276512299555,29562047766874928580688638816,0,0.4358390657734958
20,5000,4999,2,38.59863281250002,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,587,1136,985,738,879346.5725964728,879546.5725964728,-200.0,-200.0,0,0,0.0,0.0,28703762007430525043177370368,0,0.4358390657734958
21,5000,4999,3,38.59863281250002,0.6145833333333333,38.541666666666664,0.00021792596743572235,0,0,0,0,641,1167,1017,791,1045542.2951588028,1045741.8772356204,-199.58207681758233,-195.9976553490924,7.336342950779995,22.68757653542728,283.17280774372995,878.4193569538339,28183868152630480082645758492,0,0.4358390657734958
29,5000,4999,2,38.59863281250002,0.53125,46.875,0.0,50,1,0,1,649,1155,1033,771,794025.5852427206,794275.5852427206,-250.0,-300.0,0,0,0.0,0.0,29097649027354553594954333058,0,0.4358390657734958
34,5000,4999,3,38.59863281250002,0.6979166666666667,30.208333333333332,0.032097381775162415,0,0,0,0,629,1187,1000,816,1848791.888913066,1839925.8472007092,8866.041712356833,9013.111129424202,1080.53851175015,1094.4054776373682,41707.30925480928,42373.2765997197,8363378150481924414893669240,0,0.4358390657734958
36,5000,4999,2,38.59863281250002,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,661,1187,1030,818,1864351.659102517,1864551.659102517,-200.0,-200.0,0,0,0.0,0.0,29419676677578991554449781644,0,0.4358390657734958
66,5000,4998,2,38.59863281250002,0.6041666666666667,39.583333333333336,0.0,0,0,0,0,658,1185,1035,808,307948.86432503106,308148.86432503106,-200.0,-200.0,0,0,0.0,0.0,22764771275054857734295132416,0,0.4358390657734958
67,5000,4998,2,38.59863281250002,0.6041666666666667,39.583333333333336,0.0,100,1,1,0,575,1107,966,716,279896.9389612014,280196.9389612014,-300.0,-200.0,0,0,0.0,0.0,28989507047376624902296778532,0,0.4358390657734958
79,5000,4998,2,38.59863281250002,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,676,1218,1081,813,2372616.350647722,2372816.350647722,-200.0,-200.0,0,0,0.0,0.0,28783429173305269472891123994,0,0.4358390657734958
85,5000,4997,2,38.59863281250002,0.5,50.0,0.0,50,1,0,1,621,1148,997,772,1989501.6608503028,1989751.6608503028,-250.0,-200.0,0,0,0.0,0.0,9757781462840191346466895932,0,0.4358390657734958
105,5000,4997,2,38.59863281250002,0.5520833333333333,44.791666666666664,0.0,50,1,0,1,660,1183,1041,802,1895990.9874010088,1896240.9874010088,-250.0,-200.0,0,0,0.0,0.0,9358381109375770260474361368,0,0.4358390657734958
114,5000,4997,3,38.59863281250002,0.6145833333333333,38.541666666666664,0.00021792596743572235,100,1,1,0,657,1156,994,819,331132.11697173474,331431.6990485523,-299.58207681758233,-195.9976553490924,7.336342950779995,22.68757653542728,283.17280774372995,878.4193569538339,26813100862615055069485612296,0,0.4358390657734958
130,5000,4996,2,38.59863281250002,0.59375,40.625,0.0,0,0,0,0,637,1201,1044,794,1275474.5227103282,1275674.5227103282,-200.0,-200.0,0,0,0.0,0.0,9636953449175421459410446956,0,0.4358390657734958
163,5000,4995,2,38.59863281250002,0.5208333333333333,47.916666666666664,0.0,50,1,0,1,616,1166,1014,768,784716.8266750427,784966.8266750427,-250.0,-300.0,0,0,0.0,0.0,25261164118003793585477824774,0,0.4358390657734958
168,5000,4995,2,38.59863281250002,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,642,1197,1042,797,1733526.761211676,1733726.761211676,-200.0,-200.0,0,0,0.0,0.0,48792032429484961326701722408,0,0.4358390657734958
176,5000,4995,2,38.59863281250002,0.5625,43.75,0.0,0,0,0,0,604,1154,1024,734,1407092.3314557173,1407292.3314557173,-200.0,-200.0,0,0,0.0,0.0,28798098281557788459205401392,0,0.4358390657734958
183,5000,4995,2,38.59863281250002,0.5729166666666667,42.708333333333336,0.0,100,1,1,0,600,1116,978,738,2281992.5408176994,2282292.5408176994,-300.0,-200.0,0,0,0.0,0.0,49261398174116054369147041470,0,0.4358390657734958
191,5000,4995,3,38.59863281250002,0.6145833333333333,38.541666666666664,0.00021792596743572235,100,1,1,0,622,1184,1031,775,694307.765414237,694607.3474910547,-299.58207681758233,-295.9976553490924,7.336342950779995,22.68757653542728,283.17280774372995,878.4193569538339,49226864578245958588460577544,0,0.4358390657734958
215,5000,4994,2,38.59863281250002,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,644,1161,1018,787,19681.087261155346,19881.087261155346,-200.0,-200.0,0,0,0.0,0.0,28938371126466656181047145416,0,0.4358390657734958
222,5000,4994,2,38.59863281250002,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,615,1141,970,786,1239574.3900946889,1239774.3900946889,-200.0,-200.0,0,0,0.0,0.0,28016862327218266021782923376,0,0.4358390657734958
