period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
26.0,4.0,4.0,0.94,0.914,27.838,0.03132151061144503,0.030472012985796434,0.9695279870142032,28.752,902.7,609.8,292.9,0.6582657208761598,11.956,6.098,5.858,387.870423118068,0.4645423483764258,0.17628008099576464,0.20973376973083052,128190.52245790967,3289.506313098183,131480.028771008,24.958,0.962,15.052688927225509,28.618,0.134,19.424,37.01377042442813,0.6202788811349926,46.83256793325497,1012.66972826698,35.61034970758333,0.834
27.0,4.0,4.0,1.07,0.998,27.91,0.03516488932971595,0.032902656837800144,0.9670973431621993,28.908,888.8,605.8,283.0,0.671533091404354,11.718,6.058,5.66,387.4070585935387,0.46397368159578745,0.1795738978213642,0.20983331187047966,128259.69972935347,3265.4363207039605,131525.13605005757,25.946,1.024,15.628262311661977,28.76,0.148,19.27,36.95472679749212,0.6205648408528064,46.76431273344399,1012.9427490662234,35.47018978499331,0.952
28.0,4.0,4.0,0.88,0.898,27.892,0.029113755178410368,0.02987269586680029,0.9701273041331991,28.79,919.6,633.8,285.8,0.679909455440696,12.054,6.338,5.716,389.52984777805796,0.4632249813078558,0.18142592782183312,0.21093303441481337,128248.32724286315,3311.7926254795343,131560.11986834276,26.942,1.062,16.284675113387,28.622,0.168,19.164,36.91284049830703,0.6207819794959643,46.775732800826205,1012.8970687966956,35.62570413228946,0.976
29.0,4.0,4.0,0.944,0.854,27.982,0.031313284664730656,0.028511742775392278,0.9714882572246069,28.836,898.5,609.2,289.3,0.6636646411598016,11.878,6.092,5.786,389.3650220111828,0.46271203347963413,0.18277191847351187,0.2110165456874889,128275.31857937227,3322.0543859106556,131597.37296528294,27.936,1.132,16.88409983615287,28.67,0.166,19.264,36.88903839398321,0.6209086732038757,46.74903769904369,1013.0038492038262,35.57085979017482,0.966
30.0,4.0,4.0,0.96,0.992,27.95,0.03183674561163483,0.03287502592385359,0.9671249740761451,28.942,907.4,618.0,289.4,0.6673806715370115,11.968,6.18,5.788,388.5397469262891,0.46220352370252565,0.18406865526920488,0.21109240616468733,128370.79226472975,3278.4238325661963,131649.21609729607,28.926,1.092,17.474986446279054,28.756,0.186,19.118,36.812021370629544,0.6215722170819343,46.65488876308513,1013.3804449476584,35.48337866455668,0.682
31.0,4.0,4.0,1.034,0.956,28.028,0.034000423596191945,0.03147798259110276,0.9685220174088967,28.984,887.0,607.0,280.0,0.6718416040521004,11.67,6.07,5.6,388.77395474783685,0.46157403284308457,0.18562717840410142,0.21149251668730998,128417.9745504533,3300.4470245303974,131718.42157498386,29.924,1.05,18.024762258493784,28.796,0.188,19.19,36.75755050154805,0.6219504178864164,46.60833048701744,1013.5666780519299,35.45178558907372,0.884
32.0,4.0,4.0,0.978,0.916,28.09,0.03213869695695111,0.029807446605386794,0.9701925533946126,29.006,903.8,620.0,283.8,0.6736156896853881,11.876,6.2,5.676,389.6806599911455,0.4609618043762398,0.18813638856249207,0.21192078941856402,128409.86009339175,3301.2452079117766,131711.10530130359,30.922,0.98,18.631078457909343,28.786,0.22,19.236,36.74366082573516,0.6218202134781854,46.6167625284578,1013.5329498861684,35.47035984422005,0.982
33.0,4.0,4.0,0.892,0.866,28.116,0.02948871123757634,0.02863140101812843,0.9713685989818714,28.982,893.4,605.6,287.8,0.6611166720306645,11.812,6.056,5.756,390.39858253394743,0.46037478635064477,0.1898329074969064,0.21249469470029633,128443.9389932597,3337.5262099062074,131781.46520316598,31.918,1.006,19.237451505342555,28.778,0.204,19.116,36.69059787198119,0.6221684863683854,46.58319257955991,1013.6672296817596,35.46902431995149,0.898
34.0,4.0,4.0,0.896,0.772,28.24,0.02961960416866232,0.025502723005411634,0.9744972769945878,29.012,916.6,631.4,285.2,0.6776290133000309,12.018,6.314,5.704,390.5310030014131,0.4598646180715814,0.19116082281031982,0.21274552851524844,128477.68367860041,3314.0395538399894,131791.7232324404,32.912,1.092,19.839684434359544,28.79,0.222,19.096,36.653213341900646,0.6224068555917494,46.550287992356715,1013.7988480305722,35.44948598731301,0.892
35.0,4.0,4.0,0.912,0.882,28.27,0.02955743691958981,0.028835396647308515,0.9711646033526912,29.152,912.5,620.6,291.9,0.6671701733690069,12.044,6.206,5.838,389.5260874115672,0.4594731366578008,0.19250671328830873,0.2127507450586079,128573.72023847842,3272.5982736637216,131846.3185121423,33.908,1.19,20.40959835339401,28.922,0.23,19.01,36.57963115397858,0.6230220165106022,46.45533170390786,1014.178673184369,35.32797438090602,0.744
