period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,24,16,1.0,0.6,0.4,40,0,0,0,0,0,0,0,359.85123918719165,0.5003472222222222,0.08361255309108095,0.16121031201641847,120299.66670953366,1657.996827846371,121957.66353738002,0,0,0.0,35,5,16,45.91985213150859,0.5226190476190475,54.745370370370374,981.0185185185189,28.029100529100543,0
2,4,36,33,19,0.6923076923076923,0.6346153846153846,0.3653846153846154,52,700,500,200,0.7142857142857143,9,5,4,331.6746692449821,0.5002199597787833,-0.05503410733139169,0.16140662610865483,123864.0267731057,-183.487977735706,123680.53879536998,1,0,0.3076923076923077,42,10,15,42.88446250689509,0.5478670634920635,51.13856589147287,995.4457364341094,23.70108896271689,0
3,4,23,20,22,0.5476190476190477,0.47619047619047616,0.5238095238095238,42,700,500,200,0.7142857142857143,9,5,4,317.45452264579126,0.4956083042973287,-0.1460815759809969,0.15901805935890687,125076.23113102299,-58.79695039330207,125017.43418062969,2,0,0.7142857142857143,40,2,19,41.9849977987741,0.5632812500000002,49.92378048780487,1000.3048780487787,25.00762195121947,0
4,4,11,11,22,0.3333333333333333,0.3333333333333333,0.6666666666666667,33,700,500,200,0.7142857142857143,9,5,4,338.3708195940309,0.48839962121212116,-0.029509291198397403,0.17043708977085265,125306.56027729709,1880.0167003075624,127186.57697760465,3,0,1.4242424242424243,33,0,14,41.22399020807831,0.5789141414141414,49.69362745098039,1001.2254901960775,30.340166369578107,0
5,4,11,13,20,0.3333333333333333,0.3939393939393939,0.6060606060606061,33,550,400,150,0.7272727272727273,7,4,3,350.6792852814342,0.491635101010101,-0.09832819816913785,0.17702914135918246,125398.60157451473,2194.938395088441,127593.53996960317,4,0,1.8181818181818181,33,0,16,40.82076654839105,0.579861111111111,49.60171568627452,1001.593137254903,30.351307189542517,0
6,4,11,10,21,0.3548387096774194,0.3225806451612903,0.6774193548387097,31,500,300,200,0.6,7,3,4,373.0471886219748,0.4896953405017921,-0.12066750090282286,0.1868154174050855,125065.11264377176,3131.037733289935,128196.1503770617,5,0,2.3870967741935485,31,0,21,40.606287425149695,0.5813172043010753,49.934895833333336,1000.2604166666672,32.26646505376346,0
7,4,12,12,21,0.36363636363636365,0.36363636363636365,0.6363636363636364,33,950,700,250,0.7368421052631579,12,7,5,348.6928322111021,0.4874131944444444,-0.11362432245180776,0.17681082917883456,125582.78554221918,2157.9634335351575,127740.74897575434,6,0,2.878787878787879,33,0,19,40.68027366833762,0.5817550505050506,49.417892156862735,1002.3284313725477,30.373588829471142,5
8,4,13,9,25,0.38235294117647056,0.2647058823529412,0.7352941176470589,34,600,400,200,0.6666666666666666,8,4,4,336.51670214875674,0.4876151218062983,-0.11576451029289525,0.1708141741286727,125625.78125,1655.0347222222226,127280.81597222222,7,0,3.088235294117647,34,0,17,40.94105015239677,0.5799632352941178,49.375,1002.5,29.485294117647058,5
9,4,8,8,25,0.24242424242424243,0.24242424242424243,0.7575757575757576,33,950,800,150,0.8421052631578947,11,8,3,329.97074939623116,0.485479797979798,-0.026614383139300646,0.1708561476526732,126444.09789804406,1744.5707480296085,128188.66864607367,8,0,3.9393939393939394,33,0,18,40.26326611429266,0.5905934343434343,48.560049019607845,1005.759803921569,30.47756981580512,0
10,4,7,4,28,0.21875,0.125,0.875,32,550,400,150,0.7272727272727273,7,4,3,332.2085243786245,0.4819598454301075,-0.00038773655846569,0.17381585678800318,126869.31060924928,2029.4132932864295,128898.72390253571,9,0,4.5625,32,0,23,39.77054351004721,0.5973307291666665,48.13762626262628,1007.4494949494967,31.482796717171773,0
11,4,1,0,29,0.034482758620689655,0.0,1.0,29,700,400,300,0.5714285714285714,10,4,6,379.8611111111111,0.48357963875205257,0.010632183908045878,0.18993055555555557,125000.0,3696.527777777777,128696.52777777778,10,0,5.689655172413793,29,0,25,40.503472222222214,0.5862068965517242,50.0,1000.0,34.48275862068966,4
12,4,8,10,27,0.21621621621621623,0.2702702702702703,0.7297297297297297,37,1000,700,300,0.7,13,7,6,311.6273463637605,0.4834834834834835,-0.016097952747566424,0.16294367848855246,126843.36917368796,505.5725078870337,127348.94168157499,11,0,5.243243243243243,37,0,16,40.31545934472625,0.5864301801801801,48.16337719298245,1007.3464912280695,27.225580844001875,0
13,4,5,7,25,0.15625,0.21875,0.78125,32,850,700,150,0.8235294117647058,10,7,3,343.8759689971307,0.4817498319892473,-0.007376239176810184,0.17852427341616536,126551.5018397359,2303.6040646362803,128855.10590437218,12,0,6.15625,32,0,18,39.80319571673568,0.5940755208333333,48.45328282828284,1006.18686868687,31.443339646464686,0
14,4,7,6,26,0.21875,0.1875,0.8125,32,800,500,300,0.625,11,5,6,346.56086004118333,0.4803427419354838,-0.021726862302483108,0.18061936588028762,126710.35640495892,2382.570018365504,129092.92642332442,13,0,6.21875,32,0,20,39.572360170554305,0.5957031249999998,48.29545454545456,1006.8181818181838,31.463068181818244,0
15,4,5,5,26,0.16129032258064516,0.16129032258064516,0.8387096774193549,31,600,400,200,0.6666666666666666,8,4,4,353.34364863244286,0.47992831541218633,0.0,0.18454511290830156,126796.7753940159,2760.567050509992,129557.3424445259,14,0,7.129032258064516,31,0,22,39.31278280542987,0.5991263440860215,48.20963541666667,1007.1614583333339,32.489079301075286,0
16,4,3,2,27,0.10344827586206896,0.06896551724137931,0.9310344827586207,29,750,500,250,0.6666666666666666,10,5,5,381.3281368726205,0.47993637110016424,0.026400114783107442,0.19226404663297877,125347.46334876555,3759.7029320987813,129107.16628086433,15,0,7.586206896551724,29,0,21,40.10633379565421,0.5897988505747126,49.652777777777786,1001.3888888888898,34.5306513409962,7
17,4,10,10,27,0.2702702702702703,0.2702702702702703,0.7297297297297297,37,700,500,200,0.7142857142857143,9,5,4,317.98571150087014,0.48082457457457456,0.004570835896137604,0.16846477056109924,127376.050036523,712.8091069673321,128088.85914349034,16,0,6.378378378378378,36,1,13,39.61029302394766,0.59375,47.63513513513514,1009.4594594594594,28.040540540540537,0
18,4,3,3,27,0.1,0.1,0.9,30,1050,700,350,0.6666666666666666,14,7,7,359.36486009574537,0.47727490421455937,0.017509450744940702,0.18795810372767713,126854.94936192052,3117.44222597989,129972.3915879004,17,0,7.966666666666667,30,0,21,39.10134534133867,0.6024305555555556,48.15188172043011,1007.3924731182801,33.57974910394267,0
19,4,4,4,27,0.12903225806451613,0.12903225806451613,0.8709677419354839,31,1000,500,500,0.5,15,5,10,368.5934278249242,0.4782258064516129,-0.010428199589724185,0.19036186329339377,126338.19792005733,3113.4858873155135,129451.68380737284,18,0,8.32258064516129,31,0,13,39.40133510339766,0.5944220430107527,48.66536458333332,1005.3385416666652,32.43027553763436,5
20,4,7,6,28,0.20588235294117646,0.17647058823529413,0.8235294117647058,34,700,400,300,0.5714285714285714,10,4,6,338.77467386107514,0.47816399286987527,-0.03986387943607195,0.17822493711821757,127092.01388888874,1811.1111111110904,128903.12499999984,19,0,7.9411764705882355,34,0,15,39.37672176308539,0.5949754901960785,47.91666666666666,1008.3333333333321,29.656862745098003,0
21,4,4,4,28,0.125,0.125,0.875,32,950,800,150,0.8421052631578947,11,8,3,359.4249601038639,0.4766885080645162,0.014702663831915874,0.19058103322218126,127410.50020406074,2758.902790531569,130169.40299459231,20,0,9.25,32,0,15,38.5291604135401,0.6028645833333334,47.6010101010101,1009.595959595959,31.54987373737372,0
22,4,7,10,25,0.2,0.2857142857142857,0.7142857142857143,35,700,400,300,0.5714285714285714,10,4,6,333.9467650565821,0.47734593837535017,-0.02375345016250452,0.18019940493213601,128115.23604948987,1556.7337266375123,129671.96977612739,21,0,8.542857142857143,35,0,16,38.45187397583933,0.6032738095238095,46.90393518518518,1012.3842592592592,28.92526455026455,0
23,4,1,1,25,0.038461538461538464,0.038461538461538464,0.9615384615384616,26,600,300,300,0.5,9,3,6,425.2403057338817,0.4732051282051282,0.015623154861717836,0.21949408490891487,126315.16965782657,5542.860272824265,131858.02993065084,22,0,11.538461538461538,26,0,17,38.00148398321563,0.609775641025641,48.68827160493827,1005.2469135802471,38.663342830009505,0
24,4,4,4,25,0.13793103448275862,0.13793103448275862,0.8620689655172413,29,750,400,350,0.5333333333333333,11,4,7,393.48151696884645,0.4761904761904762,-0.0011394550556198535,0.20754221189141153,127197.07031250023,4209.9392361111395,131407.0095486114,23,0,11.206896551724139,29,0,18,37.889387993941895,0.6088362068965516,47.812500000000014,1008.7500000000018,34.784482758620754,0
25,4,5,6,24,0.16666666666666666,0.2,0.8,30,750,500,250,0.6666666666666666,10,5,5,382.25522784548417,0.47555076628352494,-0.024888001774229895,0.20330134729361754,127532.86371618124,3750.020775523205,131282.88449170443,24,0,11.333333333333334,30,0,18,37.82712353071634,0.6093749999999998,47.47983870967743,1010.0806451612918,33.66935483870973,0
26,4,2,1,25,0.07692307692307693,0.038461538461538464,0.9615384615384616,26,750,300,450,0.4,12,3,9,423.06636239676095,0.4743269230769231,-0.012875460678920092,0.22235660060643897,127053.11511678848,5550.379848727315,132603.4949655158,25,0,12.576923076923077,26,0,22,37.292081228634125,0.6173878205128206,47.95524691358024,1008.1790123456781,38.776115859449156,0
27,4,3,3,25,0.10714285714285714,0.10714285714285714,0.8928571428571429,28,1000,500,500,0.5,15,5,10,396.5622017518036,0.474674823633157,-0.017808928317667894,0.21221355237471026,127781.1039478464,4534.6311847668,132315.7351326132,26,0,12.571428571428571,28,0,19,37.2104590024158,0.6179315476190477,47.234195402298845,1011.0632183908039,36.10940065681442,0
28,4,1,1,25,0.038461538461538464,0.038461538461538464,0.9615384615384616,26,600,300,300,0.5,9,3,6,419.77431127744063,0.47291666666666665,0.008096856514529405,0.22232743077455372,127364.47199836142,5492.866702865396,132857.3387012268,27,0,14.461538461538462,26,0,19,37.053457677215505,0.6205929487179487,47.646604938271594,1009.4135802469126,38.82359924026587,0
29,4,1,1,25,0.038461538461538464,0.038461538461538464,0.9615384615384616,26,850,500,350,0.5882352941176471,12,5,7,415.851931135804,0.47259615384615383,0.01670063739293326,0.2177303334711839,126897.57956580543,5354.1207037799,132251.70026958533,28,0,15.423076923076923,26,0,20,37.6346556389442,0.6157852564102564,48.10956790123456,1007.561728395061,38.752374169040806,1
30,4,3,4,24,0.10714285714285714,0.14285714285714285,0.8571428571428572,28,450,400,50,0.8888888888888888,5,4,1,394.4085814516027,0.47346230158730157,-0.01754448398576547,0.20879580140900592,127345.67241792168,4445.245202470589,131790.91762039228,29,0,15.214285714285714,28,0,19,37.71293001186239,0.613467261904762,47.665229885057464,1009.3390804597693,36.04782430213462,0
31,4,2,0,26,0.07692307692307693,0.0,1.0,26,850,600,250,0.7058823529411765,11,6,5,429.14224803970995,0.47134615384615386,0.035289085335424186,0.2133845555920955,124768.62568587114,5508.697702331975,130277.32338820312,30,0,16.884615384615383,26,0,22,39.51285912882298,0.59375,50.23148148148149,999.0740740740748,38.42592592592595,7
32,4,9,6,29,0.2571428571428571,0.17142857142857143,0.8285714285714285,35,600,300,300,0.5,9,3,6,329.71195399528244,0.4831932773109244,-0.004742145820983978,0.16906506577204902,126043.83680555547,1311.6319444444348,127355.46874999991,31,0,13.285714285714286,35,0,17,40.681189488243426,0.5821428571428571,48.95833333333333,1004.166666666666,28.69047619047617,3
33,4,10,8,31,0.2564102564102564,0.20512820512820512,0.7948717948717949,39,800,600,200,0.75,10,6,4,305.97490442113497,0.47770467836257313,0.05352458322755327,0.16264981761334027,127512.50000000003,3.125000000000796,127515.62500000003,32,0,12.666666666666666,39,0,15,39.774133663366314,0.5897435897435896,47.5,1010.0000000000002,25.897435897435905,0
34,4,4,5,30,0.11428571428571428,0.14285714285714285,0.8571428571428572,35,850,400,450,0.47058823529411764,13,4,9,337.5768032993858,0.47475490196078435,0.08681520314547897,0.17862073572637385,127325.53155006841,1596.4291838134252,128921.96073388183,33,0,14.914285714285715,35,0,16,39.16762232415902,0.5952380952380952,47.685185185185176,1009.2592592592578,28.835978835978793,0
35,4,2,2,30,0.0625,0.0625,0.9375,32,1150,800,350,0.6956521739130435,15,8,7,356.44697642357386,0.471690188172043,0.09424292689033553,0.1878165202949542,127155.67926742154,2664.8514819916113,129820.53074941316,34,0,16.28125,32,0,20,38.86585085962277,0.6002604166666667,47.85353535353534,1008.5858585858573,31.51830808080804,0
