period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,25,15,1.0,0.625,0.375,40,0,0,0,0,0,0,0,424.1613530940121,0.49931891025641023,0.02190113807760885,0.18919931181129232,120109.28151014565,4189.143072898597,124298.42458304425,0,0,0.0,30,10,15,44.544997486173955,0.5322916666666666,54.939516129032256,980.2419354838707,32.67473118279569,0
2,4,26,23,18,0.6341463414634146,0.5609756097560976,0.4390243902439024,41,350,100,250,0.2857142857142857,6,1,5,325.75210459392406,0.49639227642276423,-0.12062473683313824,0.15731864289810685,123540.98880582344,-151.25257857771078,123389.73622724572,1,0,0.36585365853658536,41,0,13,43.367158134584045,0.5459857723577235,51.46329365079366,994.1468253968269,24.24748354626407,0
3,4,17,16,19,0.4857142857142857,0.45714285714285713,0.5428571428571429,35,550,300,250,0.5454545454545454,8,3,5,333.3695424461328,0.4930322128851541,-0.08332670115399932,0.16394474758652244,124306.52006172811,1288.0015432098453,125594.52160493795,2,0,0.8857142857142857,35,0,15,42.38335654596101,0.5642857142857143,50.69444444444443,997.2222222222199,28.492063492063426,0
4,4,15,15,19,0.4411764705882353,0.4411764705882353,0.5588235294117647,34,500,500,0,1.0,5,5,0,356.0176315725015,0.49028891859774215,-0.0681201298929015,0.1763685691670744,124613.39462868475,2072.913123582761,126686.30775226752,3,0,1.2941176470588236,34,0,15,41.50023846428997,0.569546568627451,50.38690476190476,998.4523809523805,29.366246498599427,8
5,4,5,0,24,0.20833333333333334,0.0,1.0,24,450,400,50,0.8888888888888888,5,4,1,460.2401294505025,0.4807518115942029,0.008443093549476588,0.2132662008298809,121771.12500000009,6408.791666666681,128179.91666666677,4,0,2.375,24,0,22,41.893574805808846,0.5703125,53.25000000000001,987.0000000000007,41.12500000000003,8
6,4,9,7,26,0.2727272727272727,0.21212121212121213,0.7878787878787878,33,750,400,350,0.5333333333333333,11,4,7,362.8340419262063,0.484375,0.019713881114592713,0.18048724489471388,124785.63120254232,2455.294988706274,127240.9261912486,5,0,2.4545454545454546,33,0,18,41.1513911034793,0.5735479797979798,50.21446078431373,999.1421568627454,30.27703505644683,0
7,4,7,8,25,0.21212121212121213,0.24242424242424243,0.7575757575757576,33,800,600,200,0.75,10,6,4,348.20702087174396,0.481613005050505,0.000755169579992554,0.17748584513425247,125797.83767060735,2160.7380574778786,127958.57572808523,6,0,2.909090909090909,33,0,16,40.470518771886965,0.5839646464646464,49.20343137254901,1003.186274509803,30.399584076054634,0
8,4,3,3,25,0.10714285714285714,0.10714285714285714,0.8928571428571429,28,750,500,250,0.6666666666666666,10,5,5,400.0994199759099,0.4793871252204585,0.03807335685566593,0.20074152454699085,125143.71944774724,4413.98591293432,129557.70536068156,7,0,4.178571428571429,28,0,21,39.848087784798025,0.5907738095238095,49.85632183908045,1000.574712643677,35.734811165845606,0
9,4,7,8,24,0.21875,0.25,0.75,32,600,400,200,0.6666666666666666,8,4,4,354.44396739837924,0.4841859879032258,0.008668140760256016,0.18429699048483247,126615.03170913682,2575.5868342516073,129190.61854338842,8,0,3.9375,32,0,16,39.47199222180405,0.5947265625,48.390151515151516,1006.4393939393939,31.45123106060606,0
10,4,5,3,26,0.1724137931034483,0.10344827586206896,0.896551724137931,29,950,800,150,0.8421052631578947,11,8,3,382.78688256073053,0.4782430213464696,0.00999362311667773,0.19897229203981748,126602.32445987665,3892.341820987671,130494.66628086432,9,0,4.551724137931035,29,0,18,38.77196614223939,0.6027298850574713,48.402777777777786,1006.3888888888897,34.703065134099646,0
11,4,1,1,26,0.037037037037037035,0.037037037037037035,0.962962962962963,27,1000,800,200,0.8,12,8,4,403.1203892704547,0.4767924976258309,0.0337697081332371,0.20821722858648248,126342.87308673466,4786.277636054419,131129.15072278908,10,0,5.851851851851852,27,0,19,38.52871521610421,0.6064814814814814,48.660714285714285,1005.3571428571425,37.23544973544973,0
12,4,2,0,28,0.07142857142857142,0.0,1.0,28,750,600,150,0.8,9,6,3,387.6797157514942,0.4752535273368607,0.025708171999184737,0.20250631947972977,126802.42807834581,4231.745854802473,131034.17393314828,11,0,6.357142857142857,28,0,21,38.44240370898716,0.6078869047619048,48.20402298850574,1007.1839080459764,35.97085385878487,0
13,4,0,3,25,0.0,0.10714285714285714,0.8928571428571429,28,600,400,200,0.6666666666666666,8,4,4,389.11317636275874,0.4742339065255732,0.02170968201910739,0.2037976628702038,126910.98405089845,4276.547223873707,131187.53127477216,12,1,7.357142857142857,28,0,22,38.29435809686774,0.6090029761904762,48.0962643678161,1007.614942528736,35.986247947454856,0
14,4,3,0,28,0.10714285714285714,0.0,1.0,28,950,600,350,0.631578947368421,13,6,7,383.01395921245364,0.47134038800705463,-0.0020637631653861455,0.2029454055374584,127381.92999405465,4157.811467829291,131539.74146188394,13,0,7.357142857142857,28,0,20,37.96316064142708,0.6138392857142857,47.62931034482758,1009.4827586206893,36.05295566502462,0
15,4,1,1,28,0.034482758620689655,0.034482758620689655,0.9655172413793104,29,850,600,250,0.7058823529411765,11,6,5,371.96733832694247,0.4703920361247948,-0.007388147706122172,0.19928581238840806,127828.32031249988,3709.592013888877,131537.91232638876,14,0,8.068965517241379,29,0,21,37.78370072792198,0.615301724137931,47.18749999999999,1011.2499999999991,34.870689655172384,0
16,4,1,2,27,0.034482758620689655,0.06896551724137931,0.9310344827586207,29,950,700,250,0.7368421052631579,12,7,5,373.7185961078025,0.469057881773399,-0.005676952990098627,0.2016310027409156,128109.3774112653,3775.371334876528,131884.74874614182,15,0,8.586206896551724,29,0,22,37.45126789225774,0.6181752873563218,46.909722222222214,1012.3611111111102,34.90900383141759,0
