period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1,4,40,23,17,1.0,0.575,0.42500000000000004,40,0,0,0,0,0,0,0,341.6896650902315,0.5003205128205128,-0.024290276792051424,0.15092186147715878,119675.98620756183,1178.409529320998,120854.39573688283,0,0,0.0,35,5,17,47.02359829666429,0.5160714285714285,55.38194444444445,978.4722222222231,27.95634920634923,0
2,4,28,24,21,0.6222222222222222,0.5333333333333333,0.4666666666666667,45,350,200,150,0.5714285714285714,5,2,3,286.4784106115037,0.5022516835016835,-0.10889234617613852,0.13487072782214118,122454.21888947947,-1983.9019999737584,120470.3168895057,1,0,0.37777777777777777,45,0,10,45.47022284250022,0.5293981481481482,52.558876811594196,989.7644927536219,21.994766505636044,0
3,4,16,19,18,0.43243243243243246,0.5135135135135135,0.4864864864864865,37,350,300,50,0.8571428571428571,4,3,1,315.66973487353124,0.4962775275275275,0.011570218329661985,0.1512208348965584,123197.33595914136,377.93407586950826,123575.27003501086,2,0,1.0,37,0,12,43.97457845519477,0.5489864864864865,51.809210526315795,992.7631578947374,26.83143669985777,0
4,4,23,21,20,0.5609756097560976,0.5121951219512195,0.4878048780487805,41,350,200,150,0.5714285714285714,5,2,3,300.679891927819,0.49578252032520326,-0.09076746772235789,0.1491840548071634,124677.78727521068,-702.3792792580323,123975.40799595264,3,0,0.9512195121951219,41,0,16,42.81511787689149,0.5576727642276422,50.32242063492062,998.7103174603146,24.358788230739382,0
5,4,12,11,21,0.375,0.34375,0.65625,32,600,500,100,0.8333333333333334,7,5,2,337.4278622412916,0.48952032930107525,-0.06433079210426396,0.1665641720982467,124463.95975219381,1999.5215730537932,126463.4813252476,4,0,1.5,32,0,18,42.11902653000971,0.5725911458333333,50.53661616161617,997.8535353535366,31.18292297979802,0
6,4,6,4,23,0.2222222222222222,0.14814814814814814,0.8518518518518519,27,600,300,300,0.5,9,3,6,389.057317507744,0.4868827160493827,-0.045297653674616245,0.18860392803040377,123701.30750868046,4225.3797743055475,127926.68728298601,5,0,2.4074074074074074,27,0,23,41.62630890052357,0.5790895061728395,51.30208333333333,994.7916666666658,36.844135802469104,0
7,4,7,4,26,0.23333333333333334,0.13333333333333333,0.8666666666666667,30,750,500,250,0.6666666666666666,10,5,5,351.14882421644757,0.48359674329501917,0.005136817591472775,0.176000047046668,125100.82677549428,2785.80164614406,127886.62842163834,6,0,2.933333333333333,30,0,24,41.116933136280174,0.584375,49.899193548387096,1000.4032258064517,33.34677419354839,0
8,4,4,1,29,0.13333333333333333,0.03333333333333333,0.9666666666666667,30,500,300,200,0.6,7,3,4,388.4167949204474,0.4851053639846743,0.018731962481962183,0.18692558255546546,123392.29968782526,3585.5283125216883,126977.82800034696,7,0,3.6,30,0,15,41.96513122294371,0.5666666666666667,51.612903225806456,993.5483870967748,33.11827956989249,8
9,4,9,12,26,0.23684210526315788,0.3157894736842105,0.6842105263157895,38,950,400,550,0.42105263157894735,15,4,11,330.5994925618949,0.4873310810810811,0.06764235250622397,0.16432580342233585,124753.41120585141,703.3315468084402,125456.74275265986,8,0,3.5789473684210527,37,1,16,41.98987944974936,0.5650337837837838,50.246710526315766,999.0131578947337,27.000355618776588,8
10,4,7,7,26,0.21212121212121213,0.21212121212121213,0.7878787878787878,33,750,500,250,0.6666666666666666,10,5,5,363.04498774840454,0.487689393939394,0.06466231325265381,0.18125587576814445,124938.73299932698,2471.6761582083545,127410.40915753534,9,0,4.0,33,0,20,40.9873743564599,0.5751262626262627,50.06127450980391,999.7549019607827,30.29560308972069,0
