firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,magtechshock
56138,2120,716,2,38.15928270042197,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,83,184,134,133,61407.54407554133,61607.54407554133,-200.0,-200.0,0,0,0.0,0.0,31501814108139078585042836364,0
56138,2121,717,2,38.07870370370373,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,83,184,134,133,61207.54407554133,61407.54407554133,-200.0,-200.0,0,0,0.0,0.0,31501814108139078585042836364,0
56138,2122,718,2,37.85962301587304,0.5208333333333333,47.916666666666664,0.0,50,1,0,1,83,185,135,133,60957.54407554133,61207.54407554133,-250.0,-200.0,0,0,0.0,0.0,31501814108139078585042836364,0
56138,2123,719,2,37.73845381526106,0.53125,46.875,0.0,50,1,0,1,84,185,135,134,60707.54407554133,60957.54407554133,-250.0,-250.0,0,0,0.0,0.0,31501814108139078585042770828,0
56138,2124,720,2,37.57440476190477,0.53125,46.875,0.0,0,0,0,0,84,185,135,134,60507.54407554133,60707.54407554133,-200.0,-250.0,0,0,0.0,0.0,31501814108139078585042770828,0
56138,2125,721,2,37.42865296803652,0.53125,46.875,0.0,0,0,0,0,84,185,135,134,60307.54407554133,60507.54407554133,-200.0,-200.0,0,0,0.0,0.0,31501814108139078585042770828,0
56138,2126,722,2,37.23958333333333,0.53125,46.875,0.0,0,0,0,0,84,185,135,134,60107.54407554133,60307.54407554133,-200.0,-200.0,0,0,0.0,0.0,31501814108139078585042770828,0
56138,2127,723,2,37.129934210526315,0.5416666666666667,45.833333333333336,0.0,100,1,1,0,85,185,136,134,59807.54407554133,60107.54407554133,-300.0,-200.0,0,0,0.0,0.0,71115895365271247381814745996,0
56138,2128,724,2,37.02651515151515,0.5416666666666667,45.833333333333336,0.0,50,1,0,1,85,186,137,134,59557.54407554133,59807.54407554133,-250.0,-300.0,0,0,0.0,0.0,71115895365271247381814745996,0
56138,2129,725,2,37.55020080321285,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,85,186,137,134,59357.54407554133,59557.54407554133,-200.0,-250.0,0,0,0.0,0.0,71115895365271247381814745996,8
56138,2130,726,2,37.511973180076644,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,85,186,137,134,59157.54407554133,59357.54407554133,-200.0,-200.0,0,0,0.0,0.0,71115895365271247381814745996,0
56138,2131,727,2,37.34303652968036,0.5416666666666667,45.833333333333336,0.0,100,1,1,0,85,187,137,135,58857.54407554133,59157.54407554133,-300.0,-200.0,0,0,0.0,0.0,71115895365271247381814745996,0
56138,2132,728,2,37.15717299578056,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,85,187,137,135,58657.54407554133,58857.54407554133,-200.0,-300.0,0,0,0.0,0.0,71115895365271247381814745996,0
56138,2133,729,2,37.012130801687746,0.5416666666666667,45.833333333333336,0.0,100,1,1,0,85,188,137,136,58357.54407554133,58657.54407554133,-300.0,-200.0,0,0,0.0,0.0,71115895365271247381814745996,0
56138,2134,730,2,36.90104166666666,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,85,188,137,136,58157.54407554133,58357.54407554133,-200.0,-300.0,0,0,0.0,0.0,71115895365271247381814745996,0
56138,2135,731,2,36.779835390946495,0.5520833333333333,44.791666666666664,0.0,100,1,1,0,86,188,138,136,57857.54407554133,58157.54407554133,-300.0,-200.0,0,0,0.0,0.0,71118313216910476640164158348,0
56138,2136,732,2,36.71239837398374,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,86,188,138,136,57657.54407554133,57857.54407554133,-200.0,-300.0,0,0,0.0,0.0,71118313216910476640164158348,0
56138,2137,733,2,36.60893574297187,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,86,188,138,136,57457.54407554133,57657.54407554133,-200.0,-200.0,0,0,0.0,0.0,71118313216910476640164158348,0
56138,2138,734,2,36.44386574074074,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,86,188,138,136,57257.54407554133,57457.54407554133,-200.0,-200.0,0,0,0.0,0.0,71118313216910476640164158348,0
56138,2139,735,2,36.31563926940639,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,86,188,138,136,57057.54407554133,57257.54407554133,-200.0,-200.0,0,0,0.0,0.0,71118313216910476640164158348,0
56138,2140,736,2,38.39495305164319,0.53125,46.875,0.0,50,1,0,1,86,189,139,136,56807.54407554133,57057.54407554133,-250.0,-200.0,0,0,0.0,0.0,71118313216910476640164158348,8
56193,2100,695,3,41.51995305164319,0.65625,34.375,0.02764218412986717,0,0,0,0,99,178,152,125,96552.03256977464,95102.64247691084,1449.390092863805,1359.3231158559472,230.8468762414722,230.81523178926815,9584.751463664412,9593.59670861204,71746358240200761209655137146,0
56193,2101,696,3,41.40625,0.65625,34.375,0.027190332326283994,0,0,0,0,99,178,152,125,97936.59713802808,96552.03256977464,1384.5645682534364,1449.390092863805,225.36029415159985,230.8468762414722,9331.32467971468,9584.751463664412,71746358240200761209655137146,0
