firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div,mkt_size,mean_mkt_size
117781,2983,38,3,42.1875,0.5833333333333333,41.666666666666664,0.0020202020202020293,0,0,0,0,16,21,16,21,6965.649363628344,7158.497840536893,-192.8484769085492,-192.74354697308343,13.73092433558549,12.843921857642012,579.2733704075129,542.4198637620004,76591799577354766512234627947,0,0.44928811516996453,26.36337472432402,25.75165514029839
117781,2984,39,3,42.13362068965517,0.5833333333333333,41.666666666666664,0.0018108371639504026,50,1,0,1,16,22,17,21,6721.337744684022,6965.649363628344,-244.3116189443214,-192.8484769085492,12.181886814622548,13.73092433558549,513.2669983316181,579.2733704075129,76591799577354766512234627947,0,0.44768611670020125,26.087979147622594,26.52420479450734
117781,2985,40,3,41.93149717514124,0.59375,40.625,0.005062598344393504,100,1,1,0,17,22,18,21,6466.068581667164,6721.337744684022,-255.2691630168585,-244.3116189443214,34.23722441520464,12.181886814622548,1435.6180788508302,513.2669983316181,76591799577354748920048583531,0,0.44785553599374023,26.20535663347564,27.319930938342562
117781,2986,41,3,41.753472222222214,0.59375,40.625,0.004369747899159641,0,0,0,0,17,22,18,21,6304.960370150169,6466.068581667164,-161.10821151699503,-255.2691630168585,34.464107948016945,34.23722441520464,1438.9961738711934,1435.6180788508302,76591799577354748920048583531,0,0.4485587899543379,30.54050181239677,28.13952886649284
117781,2987,42,3,41.684027777777764,0.6041666666666667,39.583333333333336,0.008132266953424257,100,1,1,0,18,22,19,21,6136.219125289246,6304.960370150169,-168.74124486092327,-161.10821151699503,62.48350657860229,34.464107948016945,2604.5642238754176,1438.9961738711934,75972829557712058782599021419,0,0.44787183750652065,29.74421470188032,28.983714732487623
117781,2988,43,3,41.55303030303029,0.6041666666666667,39.583333333333336,0.00762128096145387,50,1,0,1,18,23,20,21,5993.977133447953,6136.219125289246,-142.2419918412932,-168.74124486092327,54.70791183442079,62.48350657860229,2273.2795182711966,2604.5642238754176,75972829557712058782599021419,0,0.44682260228034876,27.774786008244615,29.853226174462254
117781,2989,44,3,41.37426900584794,0.6041666666666667,39.583333333333336,0.006924816280384361,0,0,0,0,18,23,20,21,5876.317318041212,5993.977133447953,-117.65981540674102,-142.2419918412932,45.97607041778739,54.70791183442079,1902.2263052973433,2273.2795182711966,75972829557712058782599021419,0,0.4472646061554512,25.67153646185045,30.74882295969612
117781,2990,45,3,41.30116959064326,0.6041666666666667,39.583333333333336,0.006640293868324345,0,0,0,0,18,23,20,21,5759.234538202416,5876.317318041212,-117.08277983879617,-117.65981540674102,48.26840731086291,45.97607041778739,1993.5416762161942,1902.2263052973433,75972829557712058782599021419,0,0.4469222743870631,28.09837497926002,31.671287648487006
117781,2991,46,3,41.16379310344827,0.6041666666666667,39.583333333333336,0.006106022758812077,50,1,0,1,18,24,21,21,5586.491164512229,5759.234538202416,-172.74337369018673,-117.08277983879617,48.882374465118446,48.26840731086291,2012.1839488874184,1993.5416762161942,75972829557712058782599021419,0,0.44692634976525825,30.929211479747824,32.621426277941616
117781,2992,47,3,41.02011494252872,0.6041666666666667,39.583333333333336,0.005547850208044337,0,0,0,0,18,24,21,21,5455.787923853424,5586.491164512229,-130.70324065880487,-172.74337369018673,48.23054450147236,48.882374465118446,1978.4224791911427,2012.1839488874184,75972829557712058782599021419,0,0.44647805816379765,33.56845897302515,33.600069066279865
117781,2993,48,3,40.87217514124293,0.6041666666666667,39.583333333333336,0.0049737684812972294,100,1,1,0,18,25,21,22,5211.516491386428,5455.787923853424,-244.2714324669956,-130.70324065880487,43.23926116533426,48.23054450147236,1767.2826553274858,1978.4224791911427,75972829557712058782599021419,0,0.4469467266562337,33.54892811513093,34.60807113826826
117781,2994,49,3,40.62500000000001,0.6041666666666667,39.583333333333336,0.004016064257028123,0,0,0,0,18,25,21,22,5049.761780792515,5211.516491386428,-161.7547105939127,-244.2714324669956,36.71547782984362,43.23926116533426,1491.5662868373975,1767.2826553274858,75972829557712058782599021419,0,0.4468068239472349,35.24685871664972,35.64631327241631
117781,2995,50,3,40.4575892857143,0.6041666666666667,39.583333333333336,0.0033684512291263847,0,0,0,0,18,25,21,22,4877.576124278018,5049.761780792515,-172.1856565144972,-161.7547105939127,31.814874591076858,36.71547782984362,1287.1531293822952,1491.5662868373975,75972829557712058782599021419,0,0.44439134808853115,36.39080123438874,36.7157026705888
117781,2996,51,3,41.75,0.6041666666666667,39.583333333333336,0.008389803162310413,0,0,0,0,18,25,21,22,4868.253005420776,4877.576124278018,-9.323118857241298,-172.1856565144972,88.00471437358104,31.814874591076858,3674.1968250970085,1287.1531293822952,75972829557712058782599021419,8,0.4441158709860756,40.61756048011437,37.81717375070646
117781,2997,52,3,41.55815972222223,0.6145833333333333,38.541666666666664,0.01167184482324295,100,1,1,0,19,25,22,22,4972.580150866715,4868.253005420776,104.32714544593858,-9.323118857241298,134.038811957905,88.00471437358104,5570.406356323528,3674.1968250970085,75972829557712058783672763243,0,0.44303246660983236,44.43531262604493,38.95168896322765
117781,2998,53,3,41.4328231292517,0.625,37.5,0.015210063306749977,100,1,1,0,20,25,23,22,5335.46032271646,4972.580150866715,362.88017184974535,104.32714544593858,168.5507204530379,134.038811957905,6983.532188838667,5570.406356323528,75972829557712058783672764267,0,0.4414574853007689,42.85743724384271,40.12023963212448
117781,2999,54,3,41.347789115646265,0.625,37.5,0.014876304758773736,0,0,0,0,20,25,23,22,5748.08223883965,5335.46032271646,412.62191612319043,362.88017184974535,159.21400516262338,168.5507204530379,6583.147109721567,6983.532188838667,75972829557712058783672764267,0,0.44128787878787884,41.378048634529236,41.32384682108822
117781,3000,55,3,41.26275510204082,0.625,37.5,0.014542765590337691,50,1,0,1,20,26,24,22,6140.388851008475,5748.08223883965,392.3066121688256,412.62191612319043,170.70114709842667,159.21400516262338,7043.599628359826,6583.147109721567,75972829557712058783672764267,0,0.44047688422688425,45.365999771242834,42.563562225720865
117800,2960,15,3,43.790064102564116,0.6145833333333333,38.541666666666664,0.020484753713838948,0,0,0,0,14,15,14,15,5622.0521696260275,5523.566681048707,98.48548857731993,58.015431143187584,56.87173889228918,56.69336657432491,2490.417091717632,2493.07226786196,14664843181607673308114044999,0,0.44865554728835977,10.836019868332317,13.048151167996311
117800,2961,16,3,43.415880503144656,0.6145833333333333,38.541666666666664,0.018996553044810432,100,1,1,0,14,16,14,16,5629.592850107938,5622.0521696260275,7.540680481910556,98.48548857731993,63.09544283435321,56.87173889228918,2739.3442063892735,2490.417091717632,14664843181607673308114044999,0,0.44821289821289817,12.944742465370517,13.4395957030362
117800,2962,17,3,43.40945512820514,0.6145833333333333,38.541666666666664,0.018971035990319324,50,1,0,1,14,17,15,16,5697.889885216558,5629.592850107938,68.29703510861975,7.540680481910556,65.38842795317801,63.09544283435321,2838.4760291373555,2739.3442063892735,14664843181607673308114044999,0,0.4468149038461538,13.43288198939357,13.842783574127287
117800,2963,18,3,43.07484567901235,0.6145833333333333,38.541666666666664,0.01764396726480968,0,0,0,0,14,17,15,16,5765.128038885268,5697.889885216558,67.23815366871065,68.29703510861975,58.951599515684876,65.38842795317801,2539.3310516690653,2838.4760291373555,14664843181607673308114044999,0,0.4465569153069153,13.004471995289789,14.258067081351106
117800,2964,19,3,42.99768518518518,0.6145833333333333,38.541666666666664,0.0173384372888989,50,1,0,1,14,18,16,16,5778.789386860139,5765.128038885268,13.661347974869898,67.23815366871065,59.16971549358119,58.951599515684876,2544.160799289978,2539.3310516690653,14664843181607673308114044999,0,0.4463772338772339,13.27860628219588,14.68580909379164
117800,2965,20,3,42.64823717948717,0.6145833333333333,38.541666666666664,0.01595703277029657,0,0,0,0,14,18,16,16,5797.018892475877,5778.789386860139,18.229505615737764,13.661347974869898,53.1415459528666,59.16971549358119,2266.3932558824713,2544.160799289978,14664843181607673308114044999,0,0.4461970450776421,12.940614507156617,15.12638336660539
