period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
11,4,4,3,2,28,0.1,0.06666666666666667,0.9333333333333333,30,850,700,150,0.8235294117647058,10,7,3,345.079741914106,0.47713122605363983,0.1054421768707483,0.18078705975751574,126922.65950182092,1909.687716788057,128832.34721860898,10,0,5.766666666666667,30,0,20,39.391589969321075,0.603125,48.08467741935483,1007.6612903225798,33.588709677419324,0
12,4,4,1,1,28,0.034482758620689655,0.034482758620689655,0.9655172413793104,29,700,400,300,0.5714285714285714,10,4,6,355.3374505107478,0.4791666666666667,0.09725906277630414,0.1859753150075728,126882.03124999981,2517.187499999973,129399.21874999978,11,0,6.655172413793103,29,0,22,39.17493796526053,0.6056034482758621,48.124999999999986,1007.4999999999985,34.741379310344776,0
13,4,4,1,2,27,0.034482758620689655,0.06896551724137931,0.9310344827586207,29,950,600,350,0.631578947368421,13,6,7,354.14247660678905,0.47844827586206895,0.09147905386149846,0.18630973769313655,127092.01388888873,2251.736111111079,129343.74999999981,12,0,7.344827586206897,29,0,23,38.98932506887051,0.6077586206896552,47.91666666666665,1008.333333333332,34.77011494252869,0
14,4,4,2,1,28,0.06896551724137931,0.034482758620689655,0.9655172413793104,29,800,400,400,0.5,12,4,8,356.63726219577035,0.4755233990147783,0.10323498044792068,0.19007590347796532,127617.73003472213,2502.6475694444357,130120.37760416657,13,0,7.758620689655173,29,0,19,38.38702749140894,0.6131465517241379,47.39583333333333,1010.4166666666658,34.841954022988475,0
15,4,4,2,1,29,0.06666666666666667,0.03333333333333333,0.9666666666666667,30,800,400,400,0.5,12,4,8,346.03574820851554,0.4734913793103448,0.1096313017306243,0.1865422490879263,128076.49592799741,2063.809219273896,130140.30514727131,14,0,8.433333333333334,30,0,22,38.18549993360775,0.6149305555555555,46.942204301075265,1012.2311827956986,33.74103942652329,0
16,4,4,0,2,27,0.0,0.06896551724137931,0.9310344827586207,29,900,400,500,0.4444444444444444,14,4,10,357.40360266956884,0.47100779967159273,0.1079361472476279,0.1919858290446269,127933.68055555562,2444.791666666672,130378.47222222229,15,1,9.620689655172415,29,0,21,38.0440005491488,0.6163793103448276,47.083333333333336,1011.6666666666672,34.88505747126439,0
17,4,4,1,0,28,0.03571428571428571,0.0,1.0,28,950,700,250,0.7368421052631579,12,7,5,369.1838501187465,0.46841931216931215,0.10354201322676193,0.19845745591879493,127962.75308825479,2898.3563713832887,130861.10945963807,16,0,10.25,28,0,22,37.716261952096964,0.6197916666666667,47.05459770114943,1011.7816091954028,36.13505747126438,0
18,4,4,1,1,28,0.034482758620689655,0.034482758620689655,0.9655172413793104,29,1200,1000,200,0.8333333333333334,14,10,4,359.1656637940177,0.4685960591133005,0.1156828739255149,0.19514756877922174,128390.74315200625,2222.7092978395167,130613.45244984578,17,0,10.862068965517242,29,0,18,37.53183385866339,0.6210488505747127,46.63194444444445,1013.4722222222229,34.94731800766286,0
19,4,4,0,1,27,0.0,0.03571428571428571,0.9642857142857143,28,450,100,350,0.2222222222222222,8,1,7,372.925866541771,0.4666280864197531,0.1185730498753621,0.20174631107083224,128217.27864067252,3513.1079485401024,131730.38658921263,18,2,12.25,28,0,25,37.36079585756845,0.6223958333333333,46.80316091954023,1012.7873563218394,36.170977011494266,0
20,4,4,3,0,30,0.1,0.0,1.0,30,1100,700,400,0.6363636363636364,15,7,8,348.25949575165595,0.46606800766283524,0.11882581271227566,0.19196185334757587,128962.36423647255,1882.4735879870689,130844.83782445962,19,0,11.966666666666667,30,0,17,37.2251444576772,0.6239583333333334,46.06854838709678,1015.7258064516138,33.85752688172046,0
21,4,4,1,1,30,0.03225806451612903,0.03225806451612903,0.967741935483871,31,950,700,250,0.7368421052631579,12,7,5,339.8624011933703,0.4664874551971326,0.13003993540953362,0.1889441434677165,129300.69181654198,1638.888719346794,130939.58053588877,20,0,12.548387096774194,31,0,21,37.09418875090683,0.6246639784946236,45.735677083333336,1017.0572916666674,32.80829973118282,0
22,4,4,1,4,27,0.03225806451612903,0.12903225806451613,0.8709677419354839,31,800,500,300,0.625,11,5,6,338.25059270069306,0.46590501792114697,0.12414567306104907,0.18884047375347282,129466.28146701398,1758.4092881944543,131224.69075520843,21,0,13.32258064516129,31,0,16,36.9669054930058,0.6263440860215054,45.57291666666667,1017.708333333334,32.82930107526884,0
23,4,4,0,1,26,0.0,0.037037037037037035,0.962962962962963,27,700,600,100,0.8571428571428571,8,6,2,383.3082611474799,0.4644468186134853,0.10528603721092056,0.2093452810882389,128596.93877551009,3758.4537981859316,132355.392573696,22,2,14.703703703703704,27,0,23,36.70896909233178,0.6296296296296297,46.42857142857142,1014.2857142857133,37.56613756613753,0
24,4,4,0,1,25,0.0,0.038461538461538464,0.9615384615384616,26,600,300,300,0.5,9,3,6,412.84196278851164,0.4636217948717949,0.14999114469567276,0.21329622423212935,126353.95530883237,4632.842983158036,130986.79829199042,23,3,15.423076923076923,26,0,21,38.272895881299576,0.610176282051282,48.64969135802468,1005.4012345679002,38.66927825261155,8
25,4,4,2,1,26,0.07407407407407407,0.037037037037037035,0.962962962962963,27,900,700,200,0.7777777777777778,11,7,4,399.8726192595233,0.46207264957264954,0.15867400419287292,0.21193248820754712,127392.2902494329,3888.137755102015,131280.42800453492,24,0,15.666666666666666,27,0,21,37.52702437106918,0.617283950617284,47.619047619047606,1009.5238095238078,37.38977072310399,0
26,4,4,0,0,26,0.0,0.0,1.0,26,1050,600,450,0.5714285714285714,15,6,9,409.9334960626912,0.45939102564102563,0.14308821626454282,0.21669807039239583,127286.59705551737,4185.807946578251,131472.40500209562,25,1,17.076923076923077,26,0,21,37.38211755110363,0.6197916666666667,47.72376543209876,1009.1049382716043,38.81172839506171,0
27,4,4,2,0,28,0.07142857142857142,0.0,1.0,28,900,600,300,0.6666666666666666,12,6,6,383.0903490486464,0.46064814814814814,0.14854749056680316,0.20593299526721873,127962.75308825453,3304.2591491610237,131267.01223741556,26,0,16.785714285714285,28,0,22,37.36450345545773,0.6197916666666667,47.05459770114941,1011.7816091954007,36.13505747126431,0
28,4,4,1,1,28,0.034482758620689655,0.034482758620689655,0.9655172413793104,29,1050,500,550,0.47619047619047616,16,5,11,371.6252028068539,0.4602319376026272,0.1547048989884683,0.20281070485019773,128566.75347222213,2705.729166666657,131272.4826388888,27,0,17.17241379310345,29,0,16,37.036086003834576,0.6228448275862069,46.45833333333333,1014.1666666666658,34.97126436781606,0
