firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div,mkt_size,mean_mkt_size
41827,3000,1954,2,41.26275510204082,0.5625,43.75,0.0,0,0,0,0,261,475,398,338,68253.72877078333,68453.72877078333,-200.0,-200.0,0,0,0.0,0.0,8156743615739517309117257423,0,0.44047688422688425,45.365999771242834,42.563562225720865
50100,3000,1747,2,41.26275510204082,0.53125,46.875,0.0,0,0,0,0,209,401,334,276,37706.82696081884,37906.82696081884,-200.0,-200.0,0,0,0.0,0.0,52878140350075694175426954803,0,0.44047688422688425,45.365999771242834,42.563562225720865
58818,3000,1529,3,41.26275510204082,0.6458333333333333,35.416666666666664,0.02259469230137212,0,0,0,0,200,397,336,261,146525.3810728291,145174.91864040968,1350.4624324194017,1255.6058292770444,265.21364662184936,245.41827315122606,10943.445750276565,10147.503003382966,41717443953718387284053803933,0,0.44047688422688425,45.365999771242834,42.563562225720865
59493,3000,1512,2,41.26275510204082,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,217,392,348,261,30602.867319955738,30902.867319955738,-300.0,-200.0,0,0,0.0,0.0,8299462256761315611381975751,0,0.44047688422688425,45.365999771242834,42.563562225720865
67305,3000,1317,2,41.26275510204082,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,170,317,267,220,133005.53794143238,133205.53794143238,-200.0,-250.0,0,0,0.0,0.0,54115201589930533604003261515,0,0.44047688422688425,45.365999771242834,42.563562225720865
67909,3000,1302,3,41.26275510204082,0.6875,31.25,0.03869854572344095,100,1,1,0,153,294,245,202,181644.61452094742,177396.4342039841,4248.180316963332,3193.552542668782,454.2386456686944,374.72467513412994,18743.13799411003,15494.036843875061,47692170480035959428791585415,0,0.44047688422688425,45.365999771242834,42.563562225720865
79210,3000,1019,2,41.26275510204082,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,123,245,201,167,56646.72332447784,56846.72332447784,-200.0,-300.0,0,0,0.0,0.0,44481487652120043585445024995,0,0.44047688422688425,45.365999771242834,42.563562225720865
80453,3000,988,3,41.26275510204082,0.625,37.5,0.014542765590337691,0,0,0,0,133,267,216,184,69867.45201907899,69425.14540691016,442.3066121688256,412.62191612319043,170.70114709842667,159.21400516262338,7043.599628359826,6583.147109721567,45585717535051222258531147595,0,0.44047688422688425,45.365999771242834,42.563562225720865
81588,3000,960,2,41.26275510204082,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,129,231,211,149,63176.921909002,63376.921909002,-200.0,-250.0,0,0,0.0,0.0,41891473909992335198174774787,0,0.44047688422688425,45.365999771242834,42.563562225720865
83198,3000,920,3,41.26275510204082,0.6666666666666667,33.333333333333336,0.030646619012406517,0,0,0,0,95,207,166,136,66889.51240708852,64237.09207307095,2652.4203340175673,2457.7741923834055,359.7261461452717,331.62254113982846,14843.291872193291,13711.858897044354,18050604751368838164056759947,0,0.44047688422688425,45.365999771242834,42.563562225720865
83627,3000,909,3,41.26275510204082,0.6666666666666667,33.333333333333336,0.030646619012406517,50,1,0,1,127,235,210,152,38467.630566679494,35865.21023266193,2602.4203340175673,2457.7741923834055,359.7261461452717,331.62254113982846,14843.291872193291,13711.858897044354,55119807580926592707166687887,0,0.44047688422688425,45.365999771242834,42.563562225720865
91175,3000,720,3,41.26275510204082,0.59375,40.625,0.0024648755237860628,0,0,0,0,98,181,151,128,37637.09680108844,37818.645016768736,-181.54821568029783,-178.38310994663112,28.932397813292813,29.907603179719516,1193.8304454847228,1236.613269229474,44742410370723415730147088809,0,0.44047688422688425,45.365999771242834,42.563562225720865
94532,3000,636,2,41.26275510204082,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,78,156,133,101,23762.0212660878,23962.0212660878,-200.0,-200.0,0,0,0.0,0.0,6831739850481591615003799745,0,0.44047688422688425,45.365999771242834,42.563562225720865
