firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div
17,2100,2099,2,41.37658227848101,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,325,512,488,349,152551.1640194675,152751.1640194675,-200.0,-250.0,0,0,0.0,0.0,6950758266275043507811905122,0,0.464524011963771
44,2100,2098,2,41.37658227848101,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,321,479,468,332,170371.17808984808,170571.17808984808,-200.0,-300.0,0,0,0.0,0.0,32452223113746989162157370004,0,0.464524011963771
69,2100,2098,2,41.37658227848101,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,383,551,545,389,259554.13622023625,259754.13622023625,-200.0,-200.0,0,0,0.0,0.0,55691275524320266517833499456,0,0.464524011963771
110,2100,2097,2,41.37658227848101,0.5625,43.75,0.0,0,0,0,0,358,558,509,407,232207.97764181122,232407.97764181122,-200.0,-200.0,0,0,0.0,0.0,64871908546614006214645042326,0,0.464524011963771
118,2100,2097,2,41.37658227848101,0.47916666666666663,52.083333333333336,0.0,0,0,0,0,327,551,498,380,95799.5288376864,95999.5288376864,-200.0,-300.0,0,0,0.0,0.0,64350839998183634916851067530,0,0.464524011963771
124,2100,2096,2,41.37658227848101,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,331,527,482,376,230264.25525602317,230464.25525602317,-200.0,-200.0,0,0,0.0,0.0,35726857474701647015664012866,0,0.464524011963771
195,2100,2095,3,41.37658227848101,0.625,37.5,0.014989293361884369,0,0,0,0,332,493,458,367,358854.7541613948,358090.07653889933,764.6776224954735,855.8424897813591,248.8474520069958,261.2393789149747,10296.457072757816,10852.31919909291,71084646086187038596149149504,0,0.464524011963771
197,2100,2095,3,41.37658227848101,0.6770833333333333,32.291666666666664,0.03512796981747734,0,0,0,0,320,523,474,369,145853.3248515927,140755.15365407462,5098.171197518099,5330.4645835247475,583.1833143973478,597.8880630837556,24130.13239159912,24837.266620604354,27479511411985632558138313124,0,0.464524011963771
313,2100,2092,2,41.37658227848101,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,347,533,501,379,396652.64846635,396852.64846635,-200.0,-300.0,0,0,0.0,0.0,25993105383386304695284723662,0,0.464524011963771
338,2100,2091,2,41.37658227848101,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,321,479,457,343,38324.86822504386,38524.86822504386,-200.0,-200.0,0,0,0.0,0.0,40177527038902070509307510308,0,0.464524011963771
356,2100,2091,2,41.37658227848101,0.46875,53.125,0.0,0,0,0,0,311,487,467,331,76184.26128957121,76384.26128957121,-200.0,-300.0,0,0,0.0,0.0,7828122425900120850456266342,0,0.464524011963771
379,2100,2090,2,41.37658227848101,0.5,50.0,0.0,100,1,1,0,334,528,480,382,247983.8551080253,248283.8551080253,-300.0,-300.0,0,0,0.0,0.0,35576124306735534306968225594,0,0.464524011963771
391,2100,2090,2,41.37658227848101,0.5104166666666667,48.958333333333336,0.0,50,1,0,1,281,490,437,334,169799.37762898963,170049.37762898963,-250.0,-200.0,0,0,0.0,0.0,63372317387112161581741404310,0,0.464524011963771
471,2100,2088,2,41.37658227848101,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,343,521,500,364,212440.59715726163,212640.59715726163,-200.0,-200.0,0,0,0.0,0.0,34659149625801276043866262560,0,0.464524011963771
531,2100,2086,2,41.37658227848101,0.5,50.0,0.0,0,0,0,0,327,506,486,347,174363.76203003124,174563.76203003124,-200.0,-200.0,0,0,0.0,0.0,37394987941488473043198071904,0,0.464524011963771
595,2100,2085,2,41.37658227848101,0.47916666666666663,52.083333333333336,0.0,0,0,0,0,340,524,500,364,20317.315259178846,20517.315259178846,-200.0,-300.0,0,0,0.0,0.0,28376244351701521298101431586,0,0.464524011963771
718,2100,2082,2,41.37658227848101,0.5625,43.75,0.0,0,0,0,0,313,498,464,347,365476.99700349045,365676.99700349045,-200.0,-200.0,0,0,0.0,0.0,16701423723210546356357103384,0,0.464524011963771
845,2100,2078,2,41.37658227848101,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,330,512,480,362,122035.12742168803,122235.12742168803,-200.0,-200.0,0,0,0.0,0.0,9678747189236635029773179574,0,0.464524011963771
871,2100,2078,2,41.37658227848101,0.48958333333333337,51.041666666666664,0.0,100,1,1,0,309,525,461,373,400686.3491132773,400986.3491132773,-300.0,-300.0,0,0,0.0,0.0,51950304911030684523595545446,0,0.464524011963771
874,2100,2078,2,41.37658227848101,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,254,494,408,340,38381.77553251935,38581.77553251935,-200.0,-250.0,0,0,0.0,0.0,15425129479590027307962247940,0,0.464524011963771
951,2100,2076,2,41.37658227848101,0.5833333333333333,41.666666666666664,0.0,50,1,0,1,296,511,460,347,265262.1794814736,265512.1794814736,-250.0,-300.0,0,0,0.0,0.0,79096136262797188555837853460,0,0.464524011963771
1072,2100,2073,2,41.37658227848101,0.5416666666666667,45.833333333333336,0.0,100,1,1,0,367,546,538,375,388135.0596934533,388435.0596934533,-300.0,-200.0,0,0,0.0,0.0,35383270232553042830443736352,0,0.464524011963771
1640,2100,2059,2,41.37658227848101,0.45833333333333337,54.166666666666664,0.0,100,1,1,0,322,514,476,360,92399.17749883713,92699.17749883713,-300.0,-200.0,0,0,0.0,0.0,78687677652744443113633571620,0,0.464524011963771
