firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div
47631,2100,909,3,48.95833333333332,0.6041666666666667,39.583333333333336,0.037344398340248976,100,1,1,0,107,228,184,151,59600.5920204646,59463.00786597488,137.58415448971647,242.94335151664802,46.67564314556983,49.24929467710528,2285.1616956685225,2443.69594777405,57299800787205383043789342052,0,0.42863313008130083
47631,2101,910,3,48.30426356589147,0.6041666666666667,39.583333333333336,0.03464870067372473,0,0,0,0,107,228,184,151,59803.13612409375,59600.5920204646,202.5441036291479,137.58415448971647,46.15839054947567,46.67564314556983,2229.6470628792267,2285.1616956685225,57299800787205383043789342052,0,0.4320824524312896
47631,2102,911,3,47.48062015503874,0.6041666666666667,39.583333333333336,0.031273983115886424,50,1,0,1,107,229,185,151,59849.06837920113,59803.13612409375,45.93225510738813,202.5441036291479,37.47264874488654,46.15839054947567,1779.2246012591472,2229.6470628792267,57299800787205383043789342052,0,0.4385407030527289
47631,2103,912,3,47.445436507936485,0.6041666666666667,39.583333333333336,0.031130315231267823,50,1,0,1,107,230,186,151,59900.090965335716,59849.06837920113,51.022586134584344,45.93225510738813,38.28779392096681,37.47264874488654,1816.5810955061875,1779.2246012591472,57299800787205383043789342052,0,0.437932769726248
47631,2104,913,3,47.1656976744186,0.6041666666666667,39.583333333333336,0.02998946057296157,0,0,0,0,107,230,186,151,59955.58675246901,59900.090965335716,55.49578713329558,51.022586134584344,33.69605780467236,38.28779392096681,1589.2980752349097,1816.5810955061875,57299800787205383043789342052,0,0.43738988724453837
47631,2105,914,3,46.5435606060606,0.6041666666666667,39.583333333333336,0.027461236689706698,0,0,0,0,107,230,186,151,59953.55857685531,59955.58675246901,-2.0281756137041214,55.49578713329558,28.443298850602535,33.69605780467236,1323.8524038893129,1589.2980752349097,57299800787205383043789342052,0,0.44355149552883133
47631,2106,915,3,47.04457364341085,0.6041666666666667,39.583333333333336,0.029496265083317357,100,1,1,0,107,231,186,152,59888.91248839352,59953.55857685531,-64.64608846178712,-2.0281756137041214,31.543537234731932,28.443298850602535,1483.9522604130186,1323.8524038893129,57299800787205383043789342052,0,0.4331164636397195
47631,2107,916,3,46.92460317460318,0.6041666666666667,39.583333333333336,0.029008232065856527,0,0,0,0,107,231,186,152,59906.9260536773,59888.91248839352,18.013565283778206,-64.64608846178712,29.6969829467633,31.543537234731932,1393.5191402598255,1483.9522604130186,57299800787205383043789342052,0,0.4337374177313202
47631,2108,917,3,46.951219512195145,0.6041666666666667,39.583333333333336,0.029116465863453796,0,0,0,0,107,231,186,152,59931.95566905405,59906.9260536773,25.029615376747415,18.013565283778206,30.54195055596122,29.6969829467633,1433.9818248835456,1393.5191402598255,57299800787205383043789342052,0,0.43249491869918694
47631,2109,918,3,46.47817460317462,0.6041666666666667,39.583333333333336,0.02719624339659556,0,0,0,0,107,231,186,152,59932.984961938855,59931.95566905405,1.0292928848037661,25.029615376747415,29.156478737824706,30.54195055596122,1355.139909590365,1433.9818248835456,57299800787205383043789342052,0,0.4338704994192799
47631,2110,919,3,46.316056910569124,0.6041666666666667,39.583333333333336,0.026539809714571844,0,0,0,0,107,231,186,152,59937.575061863005,59932.984961938855,4.590099924148831,1.0292928848037661,30.387420124582942,29.156478737824706,1407.4254798555571,1355.139909590365,57299800787205383043789342052,0,0.4373221544715447
47631,2111,920,3,46.03174603174604,0.6041666666666667,39.583333333333336,0.025390624999999993,0,0,0,0,107,231,186,152,59926.680570170894,59937.575061863005,-10.894491692109312,4.590099924148831,29.325900365285182,30.387420124582942,1349.9223977670958,1407.4254798555571,57299800787205383043789342052,0,0.4394599303135889
