firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div
47631,2100,909,3,48.95833333333332,0.6041666666666667,39.583333333333336,0.037344398340248976,100,1,1,0,107,228,184,151,59600.5920204646,59463.00786597488,137.58415448971647,242.94335151664802,46.67564314556983,49.24929467710528,2285.1616956685225,2443.69594777405,57299800787205383043789342052,0,0.42863313008130083
48060,2100,898,3,48.95833333333332,0.5833333333333333,41.666666666666664,0.029045643153526982,0,0,0,0,135,237,207,165,48112.00663551426,48047.29523341554,64.71140209871749,146.2823358927393,36.30327800210987,43.545280321847336,1777.3479855199619,2160.6690159697114,77100867918332498673711183852,0,0.42863313008130083
64965,2100,475,3,48.95833333333332,0.53125,46.875,0.008298755186721959,50,1,0,1,69,148,124,93,51558.18379464752,51786.57470059865,-228.3909059511253,-158.77229362499457,10.372365143459918,15.025208545557538,507.81371014855836,745.534356948015,45673566184776341568539465420,0,0.42863313008130083
67180,2100,420,3,48.95833333333332,0.5625,43.75,0.020746887966804968,0,0,0,0,70,110,99,81,16813.1542453671,16878.097407561632,-64.94316219453216,-11.389605634716645,25.930912858649883,32.13725161133141,1269.5342753714,1594.6151523610324,5383821716590075766572290188,0,0.42863313008130083
67732,2100,406,3,48.95833333333332,0.5729166666666667,42.708333333333336,0.024896265560165963,100,1,1,0,46,106,82,70,4810.301554900615,4915.819708460741,-105.51815356012631,-61.389605634716645,31.117095430379862,32.13725161133141,1523.4411304456803,1594.6151523610324,67186386982762089284309751492,0,0.42863313008130083
68373,2100,390,3,48.95833333333332,0.5729166666666667,42.708333333333336,0.024896265560165963,100,1,1,0,47,97,76,68,20276.96823618824,20382.486389748366,-105.51815356012631,-11.389605634716645,31.117095430379862,32.13725161133141,1523.4411304456803,1594.6151523610324,38962435023287275372208454124,0,0.42863313008130083
68525,2100,386,3,48.95833333333332,0.5833333333333333,41.666666666666664,0.029045643153526982,0,0,0,0,58,101,92,67,73728.73948147766,73664.02807937894,64.71140209871749,146.2823358927393,36.30327800210987,43.545280321847336,1777.3479855199619,2160.6690159697114,57487779588722156467618045926,0,0.42863313008130083
71299,2100,317,3,48.95833333333332,0.6354166666666667,36.458333333333336,0.04979253112033198,100,1,1,0,50,91,80,61,31109.57671550912,30631.649329749624,477.9273857594966,604.2265778290995,62.234190860759796,66.36133774287916,3046.8822608913642,3292.776743187068,64745619463099278950792517058,0,0.42863313008130083
71634,2100,309,3,48.95833333333332,0.5208333333333333,47.916666666666664,0.0041493775933609655,0,0,0,0,53,94,80,67,583.9971602785488,778.5948867663301,-194.59772648778136,-284.13312980817904,5.186182571729941,9.321194190299593,253.9068550742783,462.50742514367647,77221707736908941384806281966,0,0.42863313008130083
71775,2100,305,3,48.95833333333332,0.5208333333333333,47.916666666666664,0.0041493775933609655,0,0,0,0,49,87,72,64,59461.44492498082,59656.0426514686,-194.59772648778136,-184.13312980817904,5.186182571729941,9.321194190299593,253.9068550742783,462.50742514367647,49401611140364719315986372266,0,0.42863313008130083
71834,2100,304,3,48.95833333333332,0.5729166666666667,42.708333333333336,0.024896265560165963,0,0,0,0,39,93,68,64,20223.12170913633,20228.639862696455,-5.518153560126308,-38.49531649104932,31.117095430379862,37.841265966589354,1523.4411304456803,1877.642084165371,58570383599090899139915341222,0,0.42863313008130083
72417,2100,289,3,48.95833333333332,0.6354166666666667,36.458333333333336,0.04979253112033198,0,0,0,0,46,74,70,50,21188.368790779223,20610.441405019727,577.9273857594966,748.421046413491,62.234190860759796,72.0653520981371,3046.8822608913642,3575.8036749914063,48241342335685743672130660078,0,0.42863313008130083
73940,2100,251,3,48.95833333333332,0.5208333333333333,47.916666666666664,0.0041493775933609655,100,1,1,0,40,76,59,57,9022.769198959817,9317.366925447599,-294.59772648778136,-197.61060275124285,5.186182571729941,3.61717983504161,253.9068550742783,179.48049333933596,77144196663381191504295326900,0,0.42863313008130083
74600,2100,235,3,48.95833333333332,0.59375,40.625,0.03319502074688798,100,1,1,0,44,73,66,51,39994.902264058386,39949.15675927639,45.74550478199825,242.94335151664802,41.48946057383985,49.24929467710528,2031.254840594242,2443.69594777405,58691307639085613331756864685,0,0.42863313008130083
74680,2100,233,3,48.95833333333332,0.5625,43.75,0.020746887966804968,0,0,0,0,46,79,70,55,3038.1247869835283,3103.0679491780606,-64.94316219453216,-11.389605634716645,25.930912858649883,32.13725161133141,1269.5342753714,1594.6151523610324,68629397749971166773711442092,0,0.42863313008130083
74695,2100,232,2,48.95833333333332,0.5104166666666667,48.958333333333336,0.0,100,1,1,0,40,70,58,52,14606.928502264007,14906.928502264007,-300.0,-297.6106027512428,0,3.61717983504161,0.0,179.48049333933596,47552097070497656424630581998,0,0.42863313008130083
74845,2100,228,3,48.95833333333332,0.5416666666666667,45.833333333333336,0.012448132780082954,0,0,0,0,35,77,60,52,49928.31638725972,50079.69592564975,-151.3795383900318,-121.52809420168944,15.558547715189896,20.729222900815483,761.7205652228384,1028.5612887523537,47627362137791808107291851367,0,0.42863313008130083
75018,2100,224,3,48.95833333333332,0.53125,46.875,0.008298755186721959,0,0,0,0,43,70,63,50,26279.878827302502,26458.269733253626,-178.3909059511253,-158.77229362499457,10.372365143459918,15.025208545557538,507.81371014855836,745.534356948015,57995027154759874180897494148,0,0.42863313008130083
