firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,wealth,previous_wealth,profits,previous_profits,profits_growthrate,output,previous_output,output_growthrate,revenues,previous_revenues,revenues_growthrate,pcm
42,100,98,3,46.4236111111111,0.5833333333333333,41.666666666666664,0.01875941393947692,50,0,0,0,20708.155255360874,20867.64117357075,-159.48591820987687,-142.98454221165292,0,19.027777777777743,20.68965517241378,-0.08032407407407516,883.3381558641958,969.0844233055878,-0.08848173118798874,0.10246821241585623
90,100,97,3,46.4236111111111,0.65625,34.375,0.04751471997809122,50,1,0,1,15230.300539938324,14899.624421111164,330.6761188271595,271.88614744351935,0.2162301093175516,48.1944444444444,45.68965517241378,0.05482180293500982,2237.360146604936,2140.0614347998408,0.045465382545990085,0.25953627524308137
116,100,97,3,46.4236111111111,0.65625,34.375,0.04751471997809122,50,0,0,0,14581.832022237268,14251.155903410108,330.6761188271595,371.4132068304922,-0.10968131249550461,48.1944444444444,49.85632183908044,-0.03333333333333377,2237.360146604936,2335.2242700488823,-0.04190780504430858,0.25953627524308137
443,100,88,3,46.4236111111111,0.6666666666666667,33.333333333333336,0.0516226208407504,100,0,0,0,8796.10881766707,8410.68732846954,385.42148919752947,429.6208217730207,-0.1028798660015664,52.36111111111106,54.022988505747094,-0.030762411347518115,2430.791859567898,2530.387105297924,-0.03935968750453289,0.2819745699326849
875,100,78,3,46.4236111111111,0.59375,40.625,0.022867314802136097,50,0,0,0,6230.439057566577,6345.943494294972,-115.50443672839558,-95.54081615801323,0,23.1944444444444,24.856321839080437,-0.0668593448940279,1076.7698688271582,1164.2472585546295,-0.07513643608323484,0.12490650710545978
1116,100,72,3,46.4236111111111,0.6145833333333333,38.541666666666664,0.031083116527454484,100,0,0,0,11155.476095196538,11206.975902295304,-51.499807098765984,-24.611697384066815,0,31.527777777777743,33.18965517241378,-0.05007215007215071,1463.6332947530846,1554.5729290527142,-0.05849814608250259,0.16978309648466702
1237,100,69,3,46.4236111111111,0.59375,40.625,0.022867314802136097,100,0,0,0,7701.696441463557,7867.200878191952,-165.50443672839558,-145.54081615801323,0,23.1944444444444,24.856321839080437,-0.0668593448940279,1076.7698688271582,1164.2472585546295,-0.07513643608323484,0.12490650710545978
1283,100,67,3,46.4236111111111,0.5833333333333333,41.666666666666664,0.01875941393947692,100,0,0,0,9312.095232772901,9521.581150982778,-209.48591820987687,-192.98454221165292,0,19.027777777777743,20.68965517241378,-0.08032407407407516,883.3381558641958,969.0844233055878,-0.08848173118798874,0.10246821241585623
1331,100,66,3,46.4236111111111,0.65625,34.375,0.04751471997809122,100,1,1,0,32413.70020059415,32133.02408176699,280.6761188271595,271.88614744351935,0.03232960364582804,48.1944444444444,45.68965517241378,0.05482180293500982,2237.360146604936,2140.0614347998408,0.045465382545990085,0.25953627524308137
1487,100,62,3,46.4236111111111,0.6458333333333333,35.416666666666664,0.043406819115432045,50,1,0,1,10271.397606069188,10036.786302056842,234.61130401234493,221.88614744351935,0.05734993696289559,44.02777777777774,45.68965517241378,-0.036373165618449055,2043.9284336419732,2140.0614347998408,-0.044920673581905324,0.2370979805534778
1591,100,60,3,46.4236111111111,0.6041666666666667,39.583333333333336,0.026975215664795275,50,1,0,1,2222.68098838255,2285.523388073909,-62.842399691358764,-89.41653454881802,0,27.361111111111057,29.022988505747094,-0.057260726072608015,1270.2015817901206,1359.410093803671,-0.06562295838479637,0.14734480179506332
1823,100,54,3,46.4236111111111,0.65625,34.375,0.04751471997809122,100,0,0,0,10677.654061412199,10396.97794258504,280.6761188271595,321.4132068304922,-0.12674366559186456,48.1944444444444,49.85632183908044,-0.03333333333333377,2237.360146604936,2335.2242700488823,-0.04190780504430858,0.25953627524308137
1825,100,54,3,46.4236111111111,0.5625,43.75,0.010543612214158537,50,1,0,1,1263.180130799777,1484.5873453059503,-221.4072145061731,-261.83032765226596,0,10.6944444444444,12.356321839080437,-0.13449612403100975,496.47472993826943,578.7587528075031,-0.1421732673071151,0.05759162303664899
2223,100,44,3,46.4236111111111,0.5833333333333333,41.666666666666664,0.01875941393947692,100,0,0,0,8018.035325359346,8227.521243569223,-209.48591820987687,-192.98454221165292,0,19.027777777777743,20.68965517241378,-0.08032407407407516,883.3381558641958,969.0844233055878,-0.08848173118798874,0.10246821241585623
2359,100,41,3,46.4236111111111,0.6666666666666667,33.333333333333336,0.0516226208407504,50,0,0,0,21577.860401567505,21142.438912369977,435.42148919752947,479.6208217730207,-0.09215474093076059,52.36111111111106,54.022988505747094,-0.030762411347518115,2430.791859567898,2530.387105297924,-0.03935968750453289,0.2819745699326849
2451,100,38,3,46.4236111111111,0.6354166666666667,36.458333333333336,0.03929891825277284,50,0,0,0,2243.0560025799477,2095.8289578268623,147.22704475308535,181.03964361210132,-0.18676903127065048,39.86111111111106,41.522988505747094,-0.04002306805075029,1850.4967206790095,1944.8985995507976,-0.04853820085715088,0.2146596858638741
2579,100,35,3,46.4236111111111,0.6354166666666667,36.458333333333336,0.03929891825277284,50,1,0,1,13264.551280846617,13117.324236093533,147.22704475308535,181.03964361210132,-0.18676903127065048,39.86111111111106,41.522988505747094,-0.04002306805075029,1850.4967206790095,1944.8985995507976,-0.04853820085715088,0.2146596858638741
2789,100,30,3,46.4236111111111,0.5833333333333333,41.666666666666664,0.01875941393947692,100,1,1,0,9719.807375003233,9929.29329321311,-209.48591820987687,-231.74771270973736,0,19.027777777777743,16.522988505747094,0.15159420289855086,883.3381558641958,773.9215880565448,0.14137939746895478,0.10246821241585623
